TIMM10B	XM_054187727.1#TIMM10B
LOC128901928	XM_054184074.1#LOC128901928
LOC128901555	XM_054183631.1#LOC128901555
LOC128901555	XM_054183629.1#LOC128901555
BRD4	XM_054183392.1#BRD4
ILF3	XM_054183482.1#ILF3
IKZF4	XM_054187122.1#IKZF4
IKZF4	XM_054187124.1#IKZF4
IKZF4	XM_054187126.1#IKZF4
NACA	XM_054187196.1#NACA
HDAC7	XM_054183302.1#HDAC7
LARP4	XM_054183113.1#LARP4
DIP2B	XM_054183059.1#DIP2B
LOC128901278	XM_054183168.1#LOC128901278
ATG101	XM_054183295.1#ATG101
KANSL2	XM_054183187.1#KANSL2
CACNB3	XM_054183125.1#CACNB3
PRKAG1	XM_054183087.1#PRKAG1
KHDC4	XM_054182393.1#KHDC4
SYT11	XM_054182974.1#SYT11
ASH1L	XM_054182957.1#ASH1L
ZBTB7B	XM_054182493.1#ZBTB7B
SHC1	XM_054182489.1#SHC1
SHC1	XM_054182490.1#SHC1
TPM3	XM_054182610.1#TPM3
TPM3	XM_054182609.1#TPM3
TPM3	XM_054182601.1#TPM3
TPM3	XM_054182611.1#TPM3
TPM3	XM_054182613.1#TPM3
TPM3	XM_054182607.1#TPM3
TPM3	XM_054182597.1#TPM3
LOC128901156	XM_054182993.1#LOC128901156
MEF2D	XM_054182986.1#MEF2D
MEF2D	XM_054182987.1#MEF2D
MEF2D	XM_054182990.1#MEF2D
POGZ	XM_054182476.1#POGZ
SNX27	XM_054182622.1#SNX27
DUSP23	XM_054182681.1#DUSP23
MBD3	XM_054182176.1#MBD3
MBD3	XM_054182174.1#MBD3
GP1BA	XM_054181985.1#GP1BA
TMPRSS9	XM_054182286.1#TMPRSS9
ANKRD24	XM_054181948.1#ANKRD24
ANKRD24	XM_054181949.1#ANKRD24
TMEM259	XM_054181942.1#TMEM259
DAZAP1	XM_054181686.1#DAZAP1
GATAD2A	XM_054182249.1#GATAD2A
GATAD2A	XM_054182248.1#GATAD2A
GATAD2A	XM_054182245.1#GATAD2A
GATAD2A	XM_054182243.1#GATAD2A
GATAD2A	XM_054182246.1#GATAD2A
SUGP2	XM_054182379.1#SUGP2
ARHGEF18	XM_054181878.1#ARHGEF18
TPM4	XM_054181870.1#TPM4
TPM4	XM_054181871.1#TPM4
DENND2C	XM_054181394.1#DENND2C
LOC128900361	XM_054181422.1#LOC128900361
PFKFB2	XM_054180976.1#PFKFB2
PFKFB2	XM_054180973.1#PFKFB2
DYRK3	XM_054181318.1#DYRK3
TMCC2	XM_054181404.1#TMCC2
ANKS1A	XM_054181006.1#ANKS1A
ANKS1A	XM_054181008.1#ANKS1A
ANKS1A	XM_054181009.1#ANKS1A
TBC1D22B	XM_054181149.1#TBC1D22B
GNAI3	XM_054181493.1#GNAI3
PPP1R12B	XM_054181444.1#PPP1R12B
LZTR1	XM_054181625.1#LZTR1
TIA1	XM_054224971.1#TIA1
TIA1	XM_054224968.1#TIA1
DPYSL2	XM_054224822.1#DPYSL2
PPP2R2A	XM_054224963.1#PPP2R2A
EBF2	XM_054180780.1#EBF2
RAB11FIP1	XM_054225028.1#RAB11FIP1
PLPP5	XM_054225089.1#PLPP5
NSD3	XM_054225078.1#NSD3
FGFR1	XM_054180809.1#FGFR1
TACC1	XM_054180775.1#TACC1
ANK1	XM_054224893.1#ANK1
VDAC3	XM_054224903.1#VDAC3
GMCL1	XM_054180891.1#GMCL1
CKAP2L	XM_054224843.1#CKAP2L
GCK	XM_054225010.1#GCK
KAT7	XM_054224714.1#KAT7
FAM117A	XM_054224723.1#FAM117A
IGF2BP1	XM_054224435.1#IGF2BP1
CALCOCO2	XM_054224482.1#CALCOCO2
CALCOCO2	XM_054224480.1#CALCOCO2
HOXB7	XM_054224638.1#HOXB7
HOXB7	XM_054224637.1#HOXB7
HOXB4	XM_054224447.1#HOXB4
NFE2L1	XM_054224446.1#NFE2L1
CWC25	XM_054224136.1#CWC25
RARA	XM_054224062.1#RARA
SMARCE1	XM_054224070.1#SMARCE1
ZNF385C	XM_054224101.1#ZNF385C
ZNF385C	XM_054224100.1#ZNF385C
WNK4	XM_054224250.1#WNK4
WNK4	XM_054224251.1#WNK4
CDC27	XM_054224233.1#CDC27
CDC27	XM_054224232.1#CDC27
LOC128919123	XM_054224118.1#LOC128919123
LOC128919289	XM_054224505.1#LOC128919289
HIVEP3	XM_054223800.1#HIVEP3
ZCCHC17	XM_054223784.1#ZCCHC17
PUM1	XM_054223917.1#PUM1
TAF12	XM_054223449.1#TAF12
PHACTR4	XM_054223887.1#PHACTR4
LOC128918827	XM_054223529.1#LOC128918827
RPS6KA1	XM_054223534.1#RPS6KA1
DHDDS	XM_054223564.1#DHDDS
LDLRAP1	XM_054223496.1#LDLRAP1
RHCE	XM_054223362.1#RHCE
INPP5B	XM_054223824.1#INPP5B
MEAF6	XM_054223817.1#MEAF6
KIAA0319L	XM_054223434.1#KIAA0319L
LOC128918899	XM_054223742.1#LOC128918899
KPNA6	XM_054223481.1#KPNA6
SLC37A2	XM_054223066.1#SLC37A2
SLC37A2	XM_054223069.1#SLC37A2
MSANTD2	XM_054223295.1#MSANTD2
LOC128918595	XM_054223010.1#LOC128918595
LOC128918597	XM_054223017.1#LOC128918597
UBASH3B	XM_054223316.1#UBASH3B
DIXDC1	XM_054223201.1#DIXDC1
SCN4B	XM_054222962.1#SCN4B
SIDT2	XM_054222938.1#SIDT2
BUD13	XM_054222864.1#BUD13
BUD13	XM_054222865.1#BUD13
LACTBL1	XM_054222723.1#LACTBL1
USP48	XM_054222190.1#USP48
DDI2	XM_054222236.1#DDI2
ZBTB17	XM_054222637.1#ZBTB17
ATP13A2	XM_054222545.1#ATP13A2
CAPZB	XM_054222513.1#CAPZB
LOC128918347	XM_054222457.1#LOC128918347
MXRA8	XM_054222330.1#MXRA8
CASZ1	XM_054222318.1#CASZ1
AGTRAP	XM_054222661.1#AGTRAP
LOC128918399	XM_054222558.1#LOC128918399
MEGF6	XM_054222109.1#MEGF6
DFFB	XM_054222362.1#DFFB
KCNAB2	XM_054222654.1#KCNAB2
PLEKHG5	XM_054222616.1#PLEKHG5
CAMTA1	XM_054222807.1#CAMTA1
SMURF2	XM_054221351.1#SMURF2
C15H17orf58	XM_054221238.1#C15H17orf58
PSMD12	XM_054221190.1#PSMD12
HELZ	XM_054221186.1#HELZ
HELZ	XM_054221185.1#HELZ
CEP112	XM_054221308.1#CEP112
FAM104A	XM_054221319.1#FAM104A
BAIAP2	XM_054221711.1#BAIAP2
STXBP4	XM_054221662.1#STXBP4
RSAD1	XM_054221485.1#RSAD1
LRRC59	XM_054221866.1#LRRC59
NAT9	XM_054221881.1#NAT9
NAT9	XM_054221882.1#NAT9
FDXR	XM_054221963.1#FDXR
RECQL5	XM_054221372.1#RECQL5
ACOX1	XM_054221290.1#ACOX1
RNF157	XM_054221644.1#RNF157
MXRA7	XM_054221698.1#MXRA7
MXRA7	XM_054221699.1#MXRA7
MXRA7	XM_054221694.1#MXRA7
MXRA7	XM_054221695.1#MXRA7
SEPTIN9	XM_054221502.1#SEPTIN9
SEPTIN9	XM_054221503.1#SEPTIN9
MYOCD	XM_054221831.1#MYOCD
RGS3	XM_054220797.1#RGS3
RGS3	XM_054220796.1#RGS3
KYAT1	XM_054220311.1#KYAT1
GARNL3	XM_054220857.1#GARNL3
GARNL3	XM_054220863.1#GARNL3
ZBTB34	XM_054220660.1#ZBTB34
MVB12B	XM_054220201.1#MVB12B
GAPVD1	XM_054220346.1#GAPVD1
SCAI	XM_054220368.1#SCAI
SCAI	XM_054220360.1#SCAI
NR6A1	XM_054220478.1#NR6A1
NR6A1	XM_054220473.1#NR6A1
NR6A1	XM_054220475.1#NR6A1
NR6A1	XM_054220474.1#NR6A1
NR6A1	XM_054220476.1#NR6A1
STRBP	XM_054220432.1#STRBP
STRBP	XM_054220450.1#STRBP
STRBP	XM_054220448.1#STRBP
LHX6	XM_054220922.1#LHX6
GPSM1	XM_054220142.1#GPSM1
SEC16A	XM_054221142.1#SEC16A
SEC16A	XM_054221140.1#SEC16A
SEC16A	XM_054221141.1#SEC16A
SEC16A	XM_054221138.1#SEC16A
OLFM1	XM_054221113.1#OLFM1
CCDC180	XM_054220486.1#CCDC180
LOC128917437	XM_054220526.1#LOC128917437
SPACA9	XM_054220556.1#SPACA9
AK8	XM_054220541.1#AK8
AK8	XM_054220540.1#AK8
POMT1	XM_054221082.1#POMT1
PRRC2B	XM_054221078.1#PRRC2B
ABL1	XM_054220583.1#ABL1
ABL1	XM_054220584.1#ABL1
OSBP2	XM_054219224.1#OSBP2
ASCC2	XM_054219412.1#ASCC2
TPCN1	XM_054219638.1#TPCN1
TPCN1	XM_054219639.1#TPCN1
CABP1	XM_054220059.1#CABP1
LIMK2	XM_054219615.1#LIMK2
PISD	XM_054219491.1#PISD
PISD	XM_054219492.1#PISD
DEPDC5	XM_054219146.1#DEPDC5
LOC128917174	XM_054219832.1#LOC128917174
ZDHHC8	XM_054219375.1#ZDHHC8
PUS1	XM_054219874.1#PUS1
PUS1	XM_054219873.1#PUS1
SFSWAP	XM_054219238.1#SFSWAP
RILPL1	XM_054219298.1#RILPL1
RHOF	XM_054219821.1#RHOF
ZCCHC8	XM_054219263.1#ZCCHC8
RSRC2	XM_054219269.1#RSRC2
RSRC2	XM_054219267.1#RSRC2
CUX2	XM_054219985.1#CUX2
ATXN2	XM_054219687.1#ATXN2
ATXN2	XM_054219679.1#ATXN2
ATXN2	XM_054219680.1#ATXN2
ATXN2	XM_054219690.1#ATXN2
ATXN2	XM_054219678.1#ATXN2
ATXN2	XM_054219691.1#ATXN2
ATXN2	XM_054219686.1#ATXN2
ATXN2	XM_054219692.1#ATXN2
MAPKAPK5	XM_054219281.1#MAPKAPK5
ALKBH2	XM_054219654.1#ALKBH2
SGSM1	XM_054219072.1#SGSM1
SGSM1	XM_054219078.1#SGSM1
SGSM1	XM_054219073.1#SGSM1
KIAA1671	XM_054219071.1#KIAA1671
KIAA1671	XM_054219068.1#KIAA1671
KIAA1671	XM_054219069.1#KIAA1671
HPS4	XM_054219033.1#HPS4
MN1	XM_054219702.1#MN1
LOC128917245	XM_054219962.1#LOC128917245
DGCR2	XM_054219399.1#DGCR2
ARVCF	XM_054219501.1#ARVCF
TXNRD2	XM_054219517.1#TXNRD2
SEPTIN5	XM_054218952.1#SEPTIN5
CLTCL1	XM_054219858.1#CLTCL1
RBM39	XM_054218692.1#RBM39
TGIF2	XM_054218844.1#TGIF2
ASIP	XM_054218360.1#ASIP
IFT52	XM_054218349.1#IFT52
RPN2	XM_054218578.1#RPN2
SDC4	XM_054218185.1#SDC4
EYA2	XM_054218811.1#EYA2
LOC128916398	XM_054217982.1#LOC128916398
LOC128916398	XM_054217979.1#LOC128916398
SLC35C2	XM_054218328.1#SLC35C2
NCOA5	XM_054218208.1#NCOA5
ZNF335	XM_054218478.1#ZNF335
CTSA	XM_054218635.1#CTSA
RPRD1B	XM_054218019.1#RPRD1B
UCKL1	XM_054218008.1#UCKL1
NELFCD	XM_054218312.1#NELFCD
GNAS	XM_054217976.1#GNAS
PMEPA1	XM_054218523.1#PMEPA1
PMEPA1	XM_054218524.1#PMEPA1
UBE2D2	XM_054217673.1#UBE2D2
LOC128915996	XM_054217072.1#LOC128915996
LOC128915996	XM_054217071.1#LOC128915996
LOC128915996	XM_054217066.1#LOC128915996
LOC128915996	XM_054217067.1#LOC128915996
LOC128915987	XM_054217047.1#LOC128915987
LOC128915987	XM_054217040.1#LOC128915987
LOC128915987	XM_054217046.1#LOC128915987
MATR3	XM_054217119.1#MATR3
FBXO38	XM_054217099.1#FBXO38
FBXO38	XM_054217096.1#FBXO38
LOC128916076	XM_054217295.1#LOC128916076
NEURL1B	XM_054217636.1#NEURL1B
KDM3B	XM_054217076.1#KDM3B
PPP2R2B	XM_054217851.1#PPP2R2B
TCERG1	XM_054217329.1#TCERG1
TCERG1	XM_054217327.1#TCERG1
TCERG1	XM_054217326.1#TCERG1
TCERG1	XM_054217325.1#TCERG1
ARHGAP26	XM_054217060.1#ARHGAP26
RNF14	XM_054217127.1#RNF14
TCF7	XM_054216897.1#TCF7
LOC128916079	XM_054217306.1#LOC128916079
LOC128916079	XM_054217305.1#LOC128916079
HNRNPH1	XM_054217912.1#HNRNPH1
HNRNPH1	XM_054217915.1#HNRNPH1
HNRNPH1	XM_054217919.1#HNRNPH1
HNRNPH1	XM_054217913.1#HNRNPH1
HNRNPH1	XM_054217916.1#HNRNPH1
FLT4	XM_054217494.1#FLT4
THG1L	XM_054217806.1#THG1L
DCAF1	XM_054215905.1#DCAF1
DCAF1	XM_054215901.1#DCAF1
LOC128915648	XM_054216320.1#LOC128915648
ITIH4	XM_054216177.1#ITIH4
NISCH	XM_054216173.1#NISCH
TMCC1	XM_054216850.1#TMCC1
TMCC1	XM_054216851.1#TMCC1
TMCC1	XM_054216849.1#TMCC1
IFT122	XM_054216086.1#IFT122
LOC128915474	XM_054215819.1#LOC128915474
TAFA4	XM_054216203.1#TAFA4
LOC128915785	XM_054216559.1#LOC128915785
LOC128915785	XM_054216554.1#LOC128915785
CADPS	XM_054216196.1#CADPS
CFAP20DC	XM_054216643.1#CFAP20DC
PXK	XM_054215985.1#PXK
ARIH2	XM_054216864.1#ARIH2
LOC128915547	XM_054216047.1#LOC128915547
SLC6A6	XM_054216370.1#SLC6A6
SLC6A6	XM_054216368.1#SLC6A6
SLC41A3	XM_054216091.1#SLC41A3
CHST13	XM_054216158.1#CHST13
COPG1	XM_054216390.1#COPG1
SLMAP	XM_054215740.1#SLMAP
CCDC66	XM_054215807.1#CCDC66
PHKA1	XM_054213384.1#PHKA1
PHKA1	XM_054213383.1#PHKA1
TSC22D3	XM_054213838.1#TSC22D3
ENOX2	XM_054213979.1#ENOX2
LOC128914673	XM_054214043.1#LOC128914673
LOC128914673	XM_054214044.1#LOC128914673
GLOD5	XM_054214681.1#GLOD5
KLF8	XM_054215137.1#KLF8
KLF8	XM_054215138.1#KLF8
RAB41	XM_054214353.1#RAB41
RAB41	XM_054214354.1#RAB41
LOC128915135	XM_054215042.1#LOC128915135
LOC128914789	XM_054214365.1#LOC128914789
ZBTB33	XM_054213517.1#ZBTB33
CUL4B	XM_054213490.1#CUL4B
C1GALT1C1	XM_054213492.1#C1GALT1C1
NXT2	XM_054214235.1#NXT2
RPS6KA6	XM_054213847.1#RPS6KA6
APOOL	XM_054213689.1#APOOL
KLHL4	XM_054215260.1#KLHL4
SYTL4	XM_054214296.1#SYTL4
LOC128914980	XM_054214729.1#LOC128914980
LOC128914980	XM_054214728.1#LOC128914980
LOC128914980	XM_054214731.1#LOC128914980
TAF1	XM_054213548.1#TAF1
DLG3	XM_054214048.1#DLG3
SCAPER	XM_054213745.1#SCAPER
SCAPER	XM_054213746.1#SCAPER
DAPK2	XM_054213411.1#DAPK2
TPM1	XM_054214396.1#TPM1
TPM1	XM_054214397.1#TPM1
LIPC	XM_054213927.1#LIPC
TCF12	XM_054215487.1#TCF12
TCF12	XM_054215488.1#TCF12
TCF12	XM_054215486.1#TCF12
ATOSA	XM_054215361.1#ATOSA
DUT	XM_054214346.1#DUT
COPS2	XM_054213741.1#COPS2
SPPL2A	XM_054213771.1#SPPL2A
GABPB1	XM_054213795.1#GABPB1
GABPB1	XM_054213789.1#GABPB1
TM6SF1	XM_054213811.1#TM6SF1
RGMA	XM_054215349.1#RGMA
MCTP2	XM_054214604.1#MCTP2
SYNM	XM_054213377.1#SYNM
DPP8	XM_054214201.1#DPP8
DPP8	XM_054214200.1#DPP8
CORO2B	XM_054215402.1#CORO2B
CORO2B	XM_054215408.1#CORO2B
TLE3	XM_054214249.1#TLE3
TLE3	XM_054214248.1#TLE3
TLE3	XM_054214251.1#TLE3
TLE3	XM_054214246.1#TLE3
TLE3	XM_054214247.1#TLE3
TLE3	XM_054214245.1#TLE3
LOC128913918	XM_054212294.1#LOC128913918
LEPR	XM_054212780.1#LEPR
PGM1	XM_054211532.1#PGM1
ACOT11	XM_054212940.1#ACOT11
NDC1	XM_054212914.1#NDC1
LOC128914012	XM_054212525.1#LOC128914012
CC2D1B	XM_054211807.1#CC2D1B
STIL	XM_054210440.1#STIL
TMEM53	XM_054212832.1#TMEM53
RNF220	XM_054210881.1#RNF220
DMAP1	XM_054212749.1#DMAP1
ATP6V0B	XM_054211300.1#ATP6V0B
ARTN	XM_054212177.1#ARTN
SZT2	XM_054210865.1#SZT2
SZT2	XM_054210861.1#SZT2
SZT2	XM_054210859.1#SZT2
SZT2	XM_054210862.1#SZT2
SZT2	XM_054210864.1#SZT2
SZT2	XM_054210863.1#SZT2
SZT2	XM_054210858.1#SZT2
PRKACB	XM_054210560.1#PRKACB
MCOLN2	XM_054212248.1#MCOLN2
SYDE2	XM_054212769.1#SYDE2
EVI5	XM_054211440.1#EVI5
BCAR3	XM_054212130.1#BCAR3
PTBP2	XM_054211405.1#PTBP2
DPYD	XM_054212159.1#DPYD
SLC35A3	XM_054212898.1#SLC35A3
LOC128914258	XM_054213025.1#LOC128914258
LOC128914258	XM_054213028.1#LOC128914258
PTPRC	XM_054211989.1#PTPRC
PTPRC	XM_054211986.1#PTPRC
KCNT2	XM_054210800.1#KCNT2
RABGAP1L	XM_054211205.1#RABGAP1L
RABGAP1L	XM_054211204.1#RABGAP1L
RABGAP1L	XM_054211206.1#RABGAP1L
RC3H1	XM_054211191.1#RC3H1
SMG7	XM_054211421.1#SMG7
PRRC2C	XM_054213099.1#PRRC2C
PRRC2C	XM_054213096.1#PRRC2C
PRRC2C	XM_054213095.1#PRRC2C
GORAB	XM_054212790.1#GORAB
LOC128914198	XM_054212906.1#LOC128914198
LOC128914198	XM_054212903.1#LOC128914198
LOC128914198	XM_054212904.1#LOC128914198
LOC128914198	XM_054212905.1#LOC128914198
ABL2	XM_054212219.1#ABL2
RASAL2	XM_054210815.1#RASAL2
RASAL2	XM_054210814.1#RASAL2
RASAL2	XM_054210813.1#RASAL2
CRAMP1	XM_054212271.1#CRAMP1
CAPN15	XM_054211897.1#CAPN15
SPSB3	XM_054211089.1#SPSB3
NLRC3	XM_054211048.1#NLRC3
DNAJA3	XM_054211076.1#DNAJA3
LOC128913448	XM_054211049.1#LOC128913448
LOC128913448	XM_054211051.1#LOC128913448
LUC7L	XM_054210436.1#LUC7L
GTF3C1	XM_054213176.1#GTF3C1
TXNDC11	XM_054211599.1#TXNDC11
PARN	XM_054211556.1#PARN
MRTFB	XM_054211145.1#MRTFB
MRTFB	XM_054211152.1#MRTFB
LOC128913340	XM_054210690.1#LOC128913340
XYLT1	XM_054210997.1#XYLT1
PDPK1	XM_054213295.1#PDPK1
ARHGAP17	XM_054210585.1#ARHGAP17
CIAO3	XM_054212495.1#CIAO3
MPRIP	XM_054210717.1#MPRIP
DHRS7B	XM_054211134.1#DHRS7B
SNX8	XM_054210474.1#SNX8
ZFAND2A	XM_054212839.1#ZFAND2A
LOC128913807	XM_054212028.1#LOC128913807
CYTH3	XM_054212677.1#CYTH3
CUX1	XM_054209734.1#CUX1
CRCP	XM_054208114.1#CRCP
CRK	XM_054207701.1#CRK
INPP5K	XM_054209969.1#INPP5K
INPP5K	XM_054209968.1#INPP5K
SRR	XM_054208553.1#SRR
UNC119	XM_054210248.1#UNC119
NSRP1	XM_054209049.1#NSRP1
TMIGD1	XM_054209410.1#TMIGD1
ABR	XM_054209184.1#ABR
SPECC1	XM_054209038.1#SPECC1
NCOR1	XM_054209317.1#NCOR1
BCAS3	XM_054209093.1#BCAS3
MSI2	XM_054207888.1#MSI2
MSI2	XM_054207884.1#MSI2
MSI2	XM_054207881.1#MSI2
MSI2	XM_054207878.1#MSI2
NF1	XM_054210145.1#NF1
NF1	XM_054210157.1#NF1
SGSM2	XM_054209617.1#SGSM2
CLUH	XM_054208244.1#CLUH
CLUH	XM_054208243.1#CLUH
MAP2	XM_054209180.1#MAP2
MAP2	XM_054209179.1#MAP2
MAP2	XM_054209178.1#MAP2
MAP2	XM_054209177.1#MAP2
HECW2	XM_054210350.1#HECW2
LOC128912808	XM_054209362.1#LOC128912808
SPATS2L	XM_054209861.1#SPATS2L
BZW1	XM_054208347.1#BZW1
CLK1	XM_054208332.1#CLK1
CLK1	XM_054208331.1#CLK1
BMPR2	XM_054208387.1#BMPR2
ADAM23	XM_054210222.1#ADAM23
NRP2	XM_054208724.1#NRP2
ZNF385B	XM_054208664.1#ZNF385B
ZNF385B	XM_054208656.1#ZNF385B
LNPK	XM_054208778.1#LNPK
CIR1	XM_054209485.1#CIR1
HAT1	XM_054207943.1#HAT1
METTL8	XM_054207933.1#METTL8
TLK1	XM_054207913.1#TLK1
LOC128912751	XM_054209208.1#LOC128912751
LOC128912751	XM_054209215.1#LOC128912751
LOC128912751	XM_054209210.1#LOC128912751
LOC128912751	XM_054209209.1#LOC128912751
RBMS1	XM_054207721.1#RBMS1
RBMS1	XM_054207722.1#RBMS1
USP37	XM_054209058.1#USP37
GLI2	XM_054209749.1#GLI2
SLC15A2	XM_054209517.1#SLC15A2
SEMA5B	XM_054209286.1#SEMA5B
HEG1	XM_054209525.1#HEG1
HEG1	XM_054209524.1#HEG1
HEG1	XM_054209526.1#HEG1
CCNT2	XM_054208692.1#CCNT2
GTDC1	XM_054208203.1#GTDC1
GTDC1	XM_054208205.1#GTDC1
GTDC1	XM_054208208.1#GTDC1
NEB	XM_054207842.1#NEB
FMNL2	XM_054209188.1#FMNL2
TCTN3	XM_054206847.1#TCTN3
PTPRE	XM_054205736.1#PTPRE
CTBP2	XM_054207337.1#CTBP2
CTBP2	XM_054207332.1#CTBP2
ATE1	XM_054206596.1#ATE1
ATE1	XM_054206595.1#ATE1
EMX2	XM_054206210.1#EMX2
ATRNL1	XM_054207470.1#ATRNL1
ATRNL1	XM_054207469.1#ATRNL1
KCNIP2	XM_054206150.1#KCNIP2
KCNIP2	XM_054206147.1#KCNIP2
LCOR	XM_054204906.1#LCOR
CRTAC1	XM_054207397.1#CRTAC1
CRTAC1	XM_054207394.1#CRTAC1
LOXL4	XM_054206119.1#LOXL4
CUTC	XM_054204493.1#CUTC
KIF11	XM_054205651.1#KIF11
EXOC6	XM_054204563.1#EXOC6
ANKRD22	XM_054205077.1#ANKRD22
FRMPD2	XM_054204704.1#FRMPD2
KCNMA1	XM_054204511.1#KCNMA1
KCNMA1	XM_054204507.1#KCNMA1
LOC128911421	XM_054206307.1#LOC128911421
RASGEF1A	XM_054204813.1#RASGEF1A
RASGEF1A	XM_054204814.1#RASGEF1A
NCOA4	XM_054205313.1#NCOA4
NCOA4	XM_054205312.1#NCOA4
NCOA4	XM_054205311.1#NCOA4
LDB3	XM_054206935.1#LDB3
ARID5B	XM_054205286.1#ARID5B
HNRNPH3	XM_054204628.1#HNRNPH3
HNRNPH3	XM_054204627.1#HNRNPH3
SUPV3L1	XM_054204911.1#SUPV3L1
MCU	XM_054205776.1#MCU
OIT3	XM_054205754.1#OIT3
UBE2D1	XM_054204981.1#UBE2D1
PRKG1	XM_054205361.1#PRKG1
PRKG1	XM_054205355.1#PRKG1
A1CF	XM_054206811.1#A1CF
CHUK	XM_054207090.1#CHUK
MBNL1	XM_054206542.1#MBNL1
MED12L	XM_054205123.1#MED12L
TSC22D2	XM_054206405.1#TSC22D2
TSC22D2	XM_054206406.1#TSC22D2
COPS7B	XM_054205507.1#COPS7B
LRCH3	XM_054204535.1#LRCH3
MASP1	XM_054205173.1#MASP1
FGF12	XM_054207325.1#FGF12
ATP13A3	XM_054204761.1#ATP13A3
DOCK10	XM_054205107.1#DOCK10
NMNAT3	XM_054206876.1#NMNAT3
FARP2	XM_054206043.1#FARP2
BOK	XM_054206820.1#BOK
LOC128911850	XM_054207351.1#LOC128911850
UBE2G2	XM_054206367.1#UBE2G2
TRA2B	XM_054205977.1#TRA2B
PPP2R3A	XM_054206633.1#PPP2R3A
SAP130	XM_054206054.1#SAP130
