SNX24	XM_046905304#SNX24
AKAP8	XM_025145758#AKAP8
WIZ	XM_025145729#WIZ
ZNRF4	XM_004948948#ZNRF4
TPM4	XM_015300192#TPM4
TPM4	XM_046904722#TPM4
TPM4	XM_015300191#TPM4
ARHGEF18	XM_015300163#ARHGEF18
PDE4C	XM_015300155#PDE4C
SUGP2	NM_001396335#SUGP2
DDA1	NM_001397320#DDA1
DDA1	NM_001031408#DDA1
BABAM1	XM_015300103#BABAM1
KCNN1	XM_040653750#KCNN1
LOC100859819	XM_046904680#LOC100859819
LOC100859819	XM_015299955#LOC100859819
CNN2	XM_025144242#CNN2
PALM	XM_004948833#PALM
PALM	XM_004948830#PALM
ANKRD24	XM_040653700#ANKRD24
PLIN4	XM_040653456#PLIN4
CHAF1A	NM_001079752#CHAF1A
MIER2	XM_004948785#MIER2
TCF3	XM_040653468#TCF3
REXO1	XM_046904659#REXO1
ANP32B	NM_001030934#ANP32B
ANP32B	XM_015299813#ANP32B
MPND	XM_046904630#MPND
NFIC	NM_001397303#NFIC
TJP3	XM_015299760#TJP3
PRAM1	XM_004948673#PRAM1
HNRNPM	XM_040653517#HNRNPM
FBN3	XM_418173#FBN3
CERS4	XM_025144427#CERS4
MPP2	XM_046904490#MPP2
MLX	NM_001030930#MLX
GHDC	XM_025144075#GHDC
CASC3	XM_015299551#CASC3
IKZF3	XM_040653118#IKZF3
FBXL20	XM_015299533#FBXL20
FBXL20	XM_015299534#FBXL20
CACNB1	XM_015299528#CACNB1
HOXB4	XM_015299437#HOXB4
CDC27	XM_040653159#CDC27
CDC27	XM_040653158#CDC27
MYL4	XM_015299308#MYL4
SMARCD2	XM_015299406#SMARCD2
LOC771308	NM_001397966#LOC771308
LOC768786	XM_015298968#LOC768786
PGC	XM_040652686#PGC
ANKS1A	XM_004935038#ANKS1A
ANKS1A	XM_015298996#ANKS1A
SLC16A1	XM_040652718#SLC16A1
PFKFB2	XM_004934969#PFKFB2
PFKFB2	XM_417979#PFKFB2
DYRK3	XM_015299058#DYRK3
TMCC2	XM_046904228#TMCC2
PI16	XM_040652903#PI16
PI16	XM_015299136#PI16
RAB44	XM_015299124#RAB44
RAB44	XM_015299127#RAB44
RAB44	XM_015299123#RAB44
LOC107050775	XM_025143829#LOC107050775
PPP1R12B	XM_040652771#PPP1R12B
PPP1R12B	XM_040652777#PPP1R12B
TBC1D22B	XM_015298737#TBC1D22B
SRPK1	XM_419265#SRPK1
LOC121106470	XM_003642704#LOC121106470
LOC121106470	XM_427122#LOC121106470
NIT1	XM_040652434#NIT1
NIT1	XM_040652437#NIT1
NIT1	XM_040652438#NIT1
POGZ	XM_046903974#POGZ
LOC425662	XM_025143602#LOC425662
TOMM40L	XM_046904055#TOMM40L
KHDC4	XM_040652329#KHDC4
KHDC4	XM_040652330#KHDC4
SYT11	XM_004948288#SYT11
ASH1L	XM_015298654#ASH1L
CLK2	XM_040652327#CLK2
UBAP2L	XM_040652609#UBAP2L
TPM3	NM_001397440#TPM3
TPM3	NM_001397439#TPM3
TPM3	NM_001397434#TPM3
TPM3	NM_001397437#TPM3
TPM3	NM_001245927#TPM3
ILF2	XM_040652585#ILF2
SMAD4	XM_040652581#SMAD4
EDBETA	XM_046903894#EDBETA
LOC431323	XM_046903941#LOC431323
LOC101750908	XM_040652518#LOC101750908
BCAN	XM_015298416#BCAN
HAPLN2	XM_040652492#HAPLN2
DIXDC1	XM_015298303#DIXDC1
C11orf57	XM_046903822#C11orf57
NCAM1	XM_015298032#NCAM1
RPS25	XM_001234051#RPS25
LOC428250	XM_425809#LOC428250
SCN4B	XM_046903812#SCN4B
DSCAML1	XM_040652178#DSCAML1
OPCML	XM_015297950#OPCML
ST14	XM_040652103#ST14
ST14	XM_004947981#ST14
ESAM	XM_046903786#ESAM
MSANTD2	XM_015298050#MSANTD2
MSANTD2	XM_015298049#MSANTD2
CCDC15	XM_040652273#CCDC15
SLC37A2	XM_040652270#SLC37A2
SRSF10	NM_001030906#SRSF10
SRSF10	XM_015297675#SRSF10
SRSF10	XM_015297677#SRSF10
SRSF10	XM_015297678#SRSF10
SRSF10	XM_015297679#SRSF10
LOC419677	XM_004947881#LOC419677
SFPQ	XM_040651773#SFPQ
KIAA0319L	XM_046903579#KIAA0319L
ADPRHL2	XM_025142993#ADPRHL2
INPP5B	XM_040651753#INPP5B
INPP5B	XM_040651752#INPP5B
PAFAH2	XM_015297771#PAFAH2
SESN2	XM_025143042#SESN2
TCF7L1	XM_015273246#TCF7L1
GCK	XM_025142830#GCK
CKAP2L	XM_015297503#CKAP2L
TIA1	XM_040651487#TIA1
TIA1	XM_040651485#TIA1
VDAC3	XM_025142896#VDAC3
ANK1	XM_015297401#ANK1
FGFR1	XM_040651470#FGFR1
LOC770277	XM_004947565#LOC770277
EBF2	XM_025142763#EBF2
PPP2R2A	NM_001030886#PPP2R2A
DPYSL2	XM_015297298#DPYSL2
ARHGAP25	XM_046903356#ARHGAP25
GFPT1	XM_015297302#GFPT1
GFPT1	NM_001030882#GFPT1
GFPT1	XM_015297301#GFPT1
DDI2	XM_004947545#DDI2
HP1BP3	XM_040651202#HP1BP3
PPCS	XM_046903301#PPCS
CCDC30	XM_015297224#CCDC30
CCDC30	XM_015297227#CCDC30
CCDC30	XM_015297226#CCDC30
AGTRAP	XM_040651407#AGTRAP
ATP13A2	XM_015296907#ATP13A2
ATP13A2	NM_001030881#ATP13A2
FBXO42	XM_015297026#FBXO42
RBP7	XM_417606#RBP7
FAM132A	XM_040651314#FAM132A
PUSL1	NM_001277884#PUSL1
MXRA8	XM_015296820#MXRA8
LOC419409	XM_025142630#LOC419409
LOC419409	XM_046903230#LOC419409
MMP23A	XM_004947398#MMP23A
DFFB	XM_046903096#DFFB
KCNAB2	XM_025142686#KCNAB2
PLEKHG5	XM_025142717#PLEKHG5
PLEKHG5	XM_015296977#PLEKHG5
CAMTA1	XM_040651224#CAMTA1
PER3	XM_040651125#PER3
DOK5	XM_015296522#DOK5
DOK5	XM_046903085#DOK5
DOK5	XM_004947249#DOK5
DOK5	XM_025142340#DOK5
GNAS	XM_040651033#GNAS
NELFCD	XM_040650725#NELFCD
ZSWIM3	NM_001389634#ZSWIM3
RSPO4	XM_004947141#RSPO4
RTEL1	XM_040650967#RTEL1
UCKL1	XM_015296391#UCKL1
KCNQ2	XM_040650954#KCNQ2
FAM217B	XM_040650813#FAM217B
FAM217B	XM_040650812#FAM217B
EYA2	XM_025142163#EYA2
RPN2	NM_001006288#RPN2
IFT52	NM_001397550#IFT52
ASIP	XM_046902815#ASIP
CEP250	XM_025142331#CEP250
CEP250	XM_015296253#CEP250
DDEFL1	XM_015296256#DDEFL1
RBM23	XM_004946908#RBM23
SLA2	XM_046902973#SLA2
TGIF2	XM_015296286#TGIF2
DLGAP4	XM_040650827#DLGAP4
DLGAP4	XM_015296291#DLGAP4
EPB41L1	XM_015296238#EPB41L1
EPB41L1	XM_015296235#EPB41L1
EPB41L1	XM_015296237#EPB41L1
EPB41L1	XM_015296234#EPB41L1
EPB41L1	XM_015296232#EPB41L1
EPB41L1	XM_015296233#EPB41L1
PITPNM3	XM_040650146#PITPNM3
MED31	XM_040650103#MED31
RAP1GAP2	NM_001031478#RAP1GAP2
CLUH	XM_415920#CLUH
NF1	XM_040650554#NF1
NF1	NM_001396680#NF1
MSI2	XM_015296179#MSI2
VEZF1	XM_015295801#VEZF1
VEZF1	XM_040650098#VEZF1
VEZF1	XM_040650097#VEZF1
SYNRG	XM_015296157#SYNRG
SYNRG	XM_040650529#SYNRG
SYNRG	XM_015296160#SYNRG
SYNRG	XM_015296161#SYNRG
SYNRG	XM_015296162#SYNRG
SYNRG	XM_015296163#SYNRG
BCAS3	XM_004946735#BCAS3
BCAS3	XM_015296147#BCAS3
TUBD1	XM_040650499#TUBD1
VMP1	XM_025142011#VMP1
GDPD1	NM_001318414#GDPD1
TRPV3	XM_025141987#TRPV3
CENPV	XM_415846#CENPV
NCOR1	XM_004946661#NCOR1
SPECC1	XM_015295830#SPECC1
ABR	XM_040650467#ABR
NSRP1	XM_040650455#NSRP1
NUFIP2	XM_046902664#NUFIP2
ERAL1	NM_204239#ERAL1
TSR1	XM_015296050#TSR1
SRR	XM_040650414#SRR
ASL1	XM_015295684#ASL1
CUX1	NM_001290201#CUX1
CALN1	XM_025142058#CALN1
ANGPT1L	XM_015295673#ANGPT1L
LLGL2	XM_046902244#LLGL2
LLGL2	XM_046902242#LLGL2
TMEM94	XM_046902236#TMEM94
FDXR	XM_001232922#FDXR
FDXR	XM_040649905#FDXR
LRRC59	NM_001012570#LRRC59
SPATA20	XM_015295513#SPATA20
ABCC3	XM_040649880#ABCC3
NME1	XM_025141609#NME1
MCRIP1	XM_015295371#MCRIP1
CYTH1	XM_015295381#CYTH1
USP36	XM_046902086#USP36
TBC1D16	XM_015295607#TBC1D16
BAIAP2	XM_015295626#BAIAP2
BAIAP2	XM_040649825#BAIAP2
AATK	XM_040649818#AATK
HELZ	XM_025141653#HELZ
HELZ	XM_004946222#HELZ
HELZ	XM_015279974#HELZ
PSMD12	XM_040649499#PSMD12
SMURF2	XM_015279908#SMURF2
CEP95	XM_015279906#CEP95
CRLF3	XM_046902033#CRLF3
COPRS	XM_040649789#COPRS
ITGB4	XM_046902140#ITGB4
ITGB4	XM_015295325#ITGB4
ACOX1	XM_015295164#ACOX1
CDK3	XM_040649577#CDK3
CDK3	XM_040649576#CDK3
ST6GALNAC1	XM_040649461#ST6GALNAC1
SEPTIN9	NM_001030701#SEPTIN9
SEPTIN9	XM_046902015#SEPTIN9
OGFOD3	XM_046902085#OGFOD3
MYOCD	XM_040649549#MYOCD
MYOCD	XM_040649551#MYOCD
MYOCD	XM_040649541#MYOCD
MAP2K4	XM_015295237#MAP2K4
MYH1F	NM_001319015#MYH1F
MYH1D	NM_001319304#MYH1D
GARNL3	XM_040648992#GARNL3
GARNL3	XM_040648996#GARNL3
GARNL3	XM_040648990#GARNL3
GARNL3	XM_040648997#GARNL3
GARNL3	XM_040648991#GARNL3
GARNL3	XM_040648995#GARNL3
GARNL3	XM_040648985#GARNL3
MVB12B	XM_015279389#MVB12B
GAPVD1	XM_015279408#GAPVD1
GAPVD1	XM_015279406#GAPVD1
SCAI	XM_046901841#SCAI
STRBP	XM_015279421#STRBP
LHX6	XM_015279838#LHX6
DAB2IP	XM_015279824#DAB2IP
DAB2IP	XM_015279821#DAB2IP
DAB2IP	XM_015279822#DAB2IP
DAB2IP	XM_004945995#DAB2IP
C5	XM_046901812#C5
TRAF1	XM_046901823#TRAF1
TRAF1	XM_046901826#TRAF1
CAMSAP1	XM_415410#CAMSAP1
CAMSAP1	XM_004945989#CAMSAP1
SEC16A	XM_004945977#SEC16A
SEC16A	XM_004945976#SEC16A
SEC16A	XM_004945974#SEC16A
SEC16A	XM_015279795#SEC16A
SEC16A	XM_004945973#SEC16A
SEC16A	XM_415419#SEC16A
CCDC180	XM_040649401#CCDC180
PRRT1B	XM_040649376#PRRT1B
POMT1	XM_015279451#POMT1
PLPP7	XM_415460#PLPP7
ABL1	XM_040649363#ABL1
FUBP3	XM_040649064#FUBP3
FUBP3	XM_015279454#FUBP3
FUBP3	XM_015279453#FUBP3
CRAT	XM_415478#CRAT
KYAT1	XM_025141440#KYAT1
SH2D3C	XM_015279707#SH2D3C
TNFSF8	NM_204409#TNFSF8
STXBP1	XM_015279347#STXBP1
FAM129B	XM_015279684#FAM129B
SLC31A2	NM_001277685#SLC31A2
EHMT1	XM_015279505#EHMT1
DDR1	XM_040649091#DDR1
ANAPC2	XM_415533#ANAPC2
TPRN	XM_046901948#TPRN
TPRN	XM_415534#TPRN
FKBP15	XM_025141343#FKBP15
RGS3	NM_001397769#RGS3
RGS3	NM_204459#RGS3
PHPT1	NM_001277693#PHPT1
TRAF2	XM_015279619#TRAF2
SAPCD2	XM_015279606#SAPCD2
DPP7	XM_415570#DPP7
CATSPER4	XM_015294861#CATSPER4
CATSPER4	XM_046901423#CATSPER4
FBXW8	XM_046901419#FBXW8
PXN	XM_046901106#PXN
PXN	XM_046901104#PXN
PXN	NM_204984#PXN
PXN	XM_046901105#PXN
COQ5	XM_015275333#COQ5
CABP1	XM_040648162#CABP1
CABP1	XM_046901383#CABP1
PISD	XM_004934365#PISD
DEPDC5	XM_015275428#DEPDC5
DEPDC5	XM_040648143#DEPDC5
CABIN1	XM_015275464#CABIN1
CABIN1	XM_004934336#CABIN1
GSTT1	NM_001396289#GSTT1
SLC2A11L5	XM_004945643#SLC2A11L5
GRK3	XM_015275493#GRK3
KIAA1671	XM_015275340#KIAA1671
KIAA1671	XM_015275341#KIAA1671
KIAA1671	NM_001079738#KIAA1671
SGSM1	XM_040648538#SGSM1
SGSM1	XM_040648541#SGSM1
SGSM1	XM_040648537#SGSM1
ALKBH2	NM_001277501#ALKBH2
USP30	XM_025155696#USP30
RPL6	XM_046901052#RPL6
RSRC2	XM_015275292#RSRC2
RSRC2	XM_046901136#RSRC2
RHOF	XM_040648015#RHOF
PUS1	XM_415090#PUS1
ZDHHC8	NM_001038691#ZDHHC8
ARVCF	XM_015275165#ARVCF
ARVCF	XM_046901078#ARVCF
DNAH3	XM_040647810#DNAH3
DNAH3	XM_040647811#DNAH3
MAPK8IP3	XM_025155324#MAPK8IP3
DNAJA3	XM_025155347#DNAJA3
ZKSCAN7	XM_040647713#ZKSCAN7
LOC416655	XM_046900715#LOC416655
LUC7L	XM_040647697#LUC7L
RGS11	XM_040647633#RGS11
NPRL3	XM_046900710#NPRL3
GSG1L	XM_040647481#GSG1L
RBFOX1	XM_046900793#RBFOX1
RBFOX1	XM_004945328#RBFOX1
RBFOX1	XM_040647587#RBFOX1
RBFOX1	XM_040647593#RBFOX1
TMEM186	XM_015294585#TMEM186
CLEC16A	XM_040647919#CLEC16A
SMIM10L1	XM_040647925#SMIM10L1
POLR3E	XM_040647905#POLR3E
ABCC1	XM_046900556#ABCC1
PDPK1	XM_040647387#PDPK1
ATPAF2	XM_015294421#ATPAF2
MPRIP	XM_040647537#MPRIP
MPRIP	XM_015294405#MPRIP
MAP2K3	XM_025155081#MAP2K3
MRM2	XM_015294160#MRM2
MAD1L1	XM_040647855#MAD1L1
CYP2W1	XM_046900981#CYP2W1
TMEM130	XM_025155380#TMEM130
MKL2	XM_004945072#MKL2
MKL2	XM_025155316#MKL2
JAKMIP2	XM_004945058#JAKMIP2
TCERG1	XM_046900420#TCERG1
TCERG1	XM_040647009#TCERG1
TCERG1	XM_046900419#TCERG1
TCERG1	XM_040647008#TCERG1
TCERG1	XM_040647006#TCERG1
TCERG1	XM_040647007#TCERG1
TCERG1	XM_015294052#TCERG1
TCERG1	XM_025155028#TCERG1
TCERG1	XM_015294050#TCERG1
TCERG1	XM_015294051#TCERG1
TCERG1	XM_015294049#TCERG1
ARHGAP26	XM_015294013#ARHGAP26
TCF7	XM_040646845#TCF7
TCF7	XM_015294005#TCF7
PCBD2	XM_015293984#PCBD2
MYOT	XM_015293962#MYOT
HNRNPH1	XM_040646823#HNRNPH1
FLT4	XM_015293744#FLT4
THG1L	XM_015293768#THG1L
THG1L	XM_015293767#THG1L
EBF1	XM_015293741#EBF1
EBF1	XM_015293740#EBF1
LOC101749151	XM_046900541#LOC101749151
PDLIM7	XM_040646958#PDLIM7
PDLIM7	NM_001389279#PDLIM7
NEURL1B	XM_425198#NEURL1B
NEURL1B	XM_040647148#NEURL1B
LOC100859549	XM_015293656#LOC100859549
FBXO38	XM_025154955#FBXO38
PWWP2A	XM_015293662#PWWP2A
SPDL1	XM_025154967#SPDL1
FBXW11	NM_001039262#FBXW11
FBXW11	XM_015293592#FBXW11
LRRTM2	XM_004944769#LRRTM2
MATR3	XM_046900263#MATR3
UBE2D2	XM_015293552#UBE2D2
APBB3	XM_015293556#APBB3
APBB3	XM_040647031#APBB3
APBB3	XM_040647032#APBB3
APBB3	XM_040647030#APBB3
TMCC1	XM_015293161#TMCC1
TMCC1	XM_015293159#TMCC1
TMCC1	XM_015293157#TMCC1
TMCC1	XM_015293160#TMCC1
IFT122	XM_015293170#IFT122
CHL1	XM_015293221#CHL1
MAGI1	XM_040646369#MAGI1
MAGI1	XM_040646371#MAGI1
FAM107A	XM_425164#FAM107A
RPP14	XM_414402#RPP14
ARIH2	XM_040646252#ARIH2
USP19	XM_003642004#USP19
CCDC174	NM_001396472#CCDC174
CCDC174	NM_001396470#CCDC174
SLC6A6	XM_040646239#SLC6A6
SLC6A6	XM_046899914#SLC6A6
CHST13	XM_040646706#CHST13
FAM208A	XM_015293395#FAM208A
FAM208A	XM_015293389#FAM208A
FAM208A	XM_015293391#FAM208A
FAM208A	XM_015293394#FAM208A
WNK2	XM_015293422#WNK2
HDAC11	XM_046899894#HDAC11
EFCC1	XM_004944526#EFCC1
EFCC1	XM_040646673#EFCC1
ISY1	XM_414311#ISY1
ATRIP	XM_040646208#ATRIP
ATRIP	NM_001256151#ATRIP
BAP1	XM_040646201#BAP1
BAP1	XM_040646203#BAP1
BRK1	XM_015292880#BRK1
CAMKV	XM_015292846#CAMKV
DCAF1	XM_040646497#DCAF1
HEMK1	XM_025154565#HEMK1
NPRL2	NM_001287196#NPRL2
PFKFB4	XM_003641962#PFKFB4
NISCH	XM_015292753#NISCH
MARVELD3	XM_025154356#MARVELD3
ZNF821	XM_040707227#ZNF821
IST1	XM_015292721#IST1
PSMD7	XM_046899666#PSMD7
WWP2	XM_015292598#WWP2
WWP2	XM_040707118#WWP2
WWP2	NM_001039260#WWP2
TERF2	XM_015292545#TERF2
GCOG8	XM_040707210#GCOG8
CBFA2T3	XM_025154189#CBFA2T3
CBFA2T3	XM_025154190#CBFA2T3
CA5A	XM_004944283#CA5A
HNF4beta	XM_040707093#HNF4beta
ADAMTS18	XM_025154308#ADAMTS18
CDH8	XM_040707136#CDH8
WTIP	XM_046899659#WTIP
KCTD15	XM_015292468#KCTD15
CEP89	XM_040707072#CEP89
PHKB	XM_040707058#PHKB
SLC6A2	XM_015292350#SLC6A2
SLC12A4	XM_015292366#SLC12A4
DPEP2	XM_040706999#DPEP2
NECAB2	XM_414072#NECAB2
HSDL1	XM_015279148#HSDL1
NUP93	XM_040707045#NUP93
BCAR1	XM_025154256#BCAR1
BCAR1	XM_040646032#BCAR1
LDHD	XM_015279228#LDHD
LOC100859696	XM_025154304#LOC100859696
ACD	XM_015279185#ACD
ELMO3	XM_040706993#ELMO3
KIFC2	XM_015292325#KIFC2
SLC7A6OS	NM_001293299#SLC7A6OS
TUBGCP4	XM_004944000#TUBGCP4
LOC101751992	XM_004943973#LOC101751992
TLE3	XM_025153951#TLE3
TLE3	XM_015292205#TLE3
TLE3	XM_015292202#TLE3
TLE3	XM_040706536#TLE3
TLE3	XM_040706537#TLE3
TLE3	XM_025153952#TLE3
TLE3	XM_015292206#TLE3
TLE3	XM_015292207#TLE3
TLE3	XM_025153953#TLE3
TLE3	XM_015292204#TLE3
TLE3	XM_025153954#TLE3
CORO2B	XM_046899186#CORO2B
PIAS1	NM_001031456#PIAS1
PEX11A	XM_413859#PEX11A
IL16	NM_001277996#IL16
TM6SF1	XM_025153835#TM6SF1
C15ORF40	XM_413838#C15ORF40
GABPB1	NM_001012622#GABPB1
DUT	NM_001396210#DUT
TNFAIP8L3	XM_425071#TNFAIP8L3
FAM214A	NM_001396569#FAM214A
FAM214A	XM_046899018#FAM214A
WDR72	XM_040706929#WDR72
PIGB	XM_015291893#PIGB
NEDD4	XM_015291880#NEDD4
RFX7	XM_015291868#RFX7
TCF12	XM_040706230#TCF12
TCF12	XM_040706231#TCF12
TCF12	XM_040706232#TCF12
TCF12	XM_015278771#TCF12
TCF12	XM_015278772#TCF12
TCF12	XM_015278773#TCF12
MYZAP	XM_015278918#MYZAP
LIPC	XM_046899314#LIPC
TPM1	XM_015278787#TPM1
TPM1	XM_015278786#TPM1
TPM1	XM_015278793#TPM1
TPM1	XM_015278791#TPM1
TPM1	XM_015278792#TPM1
TPM1	XM_015278788#TPM1
USP3	XM_046899243#USP3
DAPK2	XM_040706809#DAPK2
SCAPER	XM_015279022#SCAPER
SCAPER	XM_025154119#SCAPER
AP3B2	XM_040706557#AP3B2
AP3B2	XM_040706558#AP3B2
AP3B2	XM_040706559#AP3B2
SNX22	XM_025154061#SNX22
TSC22D2	XM_025153468#TSC22D2
C3orf33	XM_040705963#C3orf33
VEPH1	XM_040705944#VEPH1
RSRC1	XM_046898523#RSRC1
KPNA4	NM_001007963#KPNA4
GOLIM4	XM_046898801#GOLIM4
PHC3	XM_004943494#PHC3
FXR1	XM_015291422#FXR1
FXR1	XM_015291423#FXR1
DNAJC19	XM_422774#DNAJC19
CAMK2N2	XM_015291551#CAMK2N2
CYP2AB4	NM_001329496#CYP2AB4
NCL	XM_046898333#NCL
P3H2	XM_015291384#P3H2
LRRC15	XM_040705650#LRRC15
MELTF	XM_040705480#MELTF
DOCK10	XM_015277026#DOCK10
DOCK10	XM_015277006#DOCK10
DOCK10	XM_015277013#DOCK10
DOCK10	XM_015277010#DOCK10
DOCK10	XM_015277015#DOCK10
DOCK10	XM_025153516#DOCK10
DOCK10	XM_015277009#DOCK10
DOCK10	XM_015277011#DOCK10
DOCK10	XM_015277007#DOCK10
DOCK10	XM_015277016#DOCK10
DOCK10	XM_015277025#DOCK10
DOCK10	XM_015277017#DOCK10
PER2	NM_204262#PER2
PER2	XM_025153291#PER2
BOK	XM_046898316#BOK
FARP2	XM_046898548#FARP2
FARP2	XM_046898547#FARP2
KIF1A	XM_040705859#KIF1A
KIF1A	XM_040705863#KIF1A
KIF1A	XM_015277101#KIF1A
THAP4	XM_003641747#THAP4
TMEM41A	XM_040705556#TMEM41A
MAP6D1	XM_015277171#MAP6D1
ARHGEF4	XM_046898717#ARHGEF4
SAP130	XM_040705519#SAP130
IWS1	XM_046898692#IWS1
TNNI3K	XM_040704442#TNNI3K
SRSF11	XM_040704704#SRSF11
MIER1	XM_046944530#MIER1
PDE4B	XM_046944526#PDE4B
DNAJC6	XM_015291027#DNAJC6
ITGB3BP	NM_001044658#ITGB3BP
NFIA	NM_205273#NFIA
NFIA	XM_046944265#NFIA
NFIA	XM_046944277#NFIA
NFIA	XM_046944268#NFIA
NFIA	XM_046944261#NFIA
NFIA	XM_046944260#NFIA
CPT2	XM_025152880#CPT2
CPT2	XM_046944511#CPT2
ZYG11A	XM_046944896#ZYG11A
ORC1	NM_001031286#ORC1
BEND5	XM_015291233#BEND5
BEND5	XM_001235270#BEND5
CYP4B7	XM_004936774#CYP4B7
VDHAP	NM_204976#VDHAP
LOC424588	XM_422428#LOC424588
TMEM53	XM_015291003#TMEM53
RNF220	NM_001012599#RNF220
RNF220	XM_015291001#RNF220
RNF220	XM_015291000#RNF220
RNF220	XM_040704658#RNF220
SLC6A9	XM_015290997#SLC6A9
ARTN	XM_015291307#ARTN
PRKACB	XM_015290884#PRKACB
PRKACB	XM_015290886#PRKACB
ABCA4	XM_040705039#ABCA4
ARHGAP29	XM_015290634#ARHGAP29
ARHGAP29	XM_015290633#ARHGAP29
ARHGAP29	NM_001396195#ARHGAP29
PTBP2	XM_015290736#PTBP2
SLC35A3	XM_015290620#SLC35A3
DPH5	XM_025153094#DPH5
ZBTB37	XM_004943267#ZBTB37
TNN	XM_040705264#TNN
SYNGAP1	XM_015290511#SYNGAP1
SYNGAP1	XM_015290513#SYNGAP1
SYNGAP1	XM_004943250#SYNGAP1
SYNGAP1	XM_015290514#SYNGAP1
LHX4	XM_015290492#LHX4
RGS16	XM_040704538#RGS16
PBX1	XM_040704491#PBX1
PRRX1	XM_015290230#PRRX1
PRRC2C	XM_046944346#PRRC2C
RGS4	XM_025152734#RGS4
RGS4	XM_046944213#RGS4
TROVE2	XM_040704790#TROVE2
GLRX2	XM_422200#GLRX2
DENND1B	XM_040704778#DENND1B
DENND1B	XM_040704777#DENND1B
TANC1	XM_025152498#TANC1
NR4A2	XM_015290201#NR4A2
NR4A2	XM_015290203#NR4A2
ORC4	XM_040704379#ORC4
GTDC1	XM_046943642#GTDC1
GTDC1	XM_046943641#GTDC1
GTDC1	NM_001396648#GTDC1
