LOC135326608	XM_064504424.1#LOC135326608
ILF2	XM_064499066.1#ILF2
SHC1	XM_064499071.1#SHC1
SHC1	XM_064499070.1#SHC1
RUSC1	XM_064499125.1#RUSC1
SYT11	XM_064498906.1#SYT11
KHDC4	XM_026115130.2#KHDC4
IKZF4	XM_064498557.1#IKZF4
IKZF4	XM_064498558.1#IKZF4
CACNB3	XM_064498567.1#CACNB3
LOC112991444	XM_064498359.1#LOC112991444
SP1	XM_064498730.1#SP1
PCBP2	XM_064498402.1#PCBP2
PCBP2	XM_064498400.1#PCBP2
PCBP2	XM_064498401.1#PCBP2
PCBP2	XM_064498399.1#PCBP2
PCBP2	XM_064498403.1#PCBP2
PCBP2	XM_064498396.1#PCBP2
PCBP2	XM_064498397.1#PCBP2
HNRNPA1	XM_064498692.1#HNRNPA1
LOC112990173	XM_026111731.2#LOC112990173
PFKFB2	XM_064497999.1#PFKFB2
ANKS1A	XM_064497987.1#ANKS1A
ANKS1A	XM_026111954.2#ANKS1A
ANKS1A	XM_064497986.1#ANKS1A
SRPK1	XM_064498181.1#SRPK1
FGD2	XM_064498201.1#FGD2
STRIP1	XM_064497950.1#STRIP1
CSF1	XM_064498065.1#CSF1
AMPD2	XM_064497976.1#AMPD2
LRIF1	XM_064498189.1#LRIF1
RNPEP	XM_064498324.1#RNPEP
RNPEP	XM_064498323.1#RNPEP
LZTR1	XM_064498320.1#LZTR1
TACC1	XM_064497842.1#TACC1
PLPP5	XM_026114234.2#PLPP5
RAB11FIP1	XM_064497863.1#RAB11FIP1
BIN3	XM_064497823.1#BIN3
PPP2R2A	XM_064497829.1#PPP2R2A
DPYSL2	XM_026122314.2#DPYSL2
ARHGAP25	XM_064497909.1#ARHGAP25
REXO1	XM_064497206.1#REXO1
NFIC	XM_064497632.1#NFIC
TJP3	XM_026105382.2#TJP3
PRAM1	XM_064497599.1#PRAM1
CHAF1A	XM_026119519.2#CHAF1A
TPM4	XM_026105961.2#TPM4
EPS15L1	XM_064497386.1#EPS15L1
MED26	XM_064497583.1#MED26
MAST3	XM_064497352.1#MAST3
FKBP8	XM_064497643.1#FKBP8
FKBP8	XM_064497642.1#FKBP8
SUGP2	XM_026115301.2#SUGP2
DAZAP1	XM_064497427.1#DAZAP1
TMEM259	XM_026108322.2#TMEM259
FSTL3	XM_064497311.1#FSTL3
MIER2	XM_064497587.1#MIER2
FBXO42	XM_064497144.1#FBXO42
CAPZB	XM_026112502.2#CAPZB
LOC112990637	XM_026112497.2#LOC112990637
USP48	XM_064497036.1#USP48
AGTRAP	XM_064525614.1#AGTRAP
PGD	XM_026095521.2#PGD
LOC112980582	XM_026095535.2#LOC112980582
PLEKHN1	XM_026100588.2#PLEKHN1
PUSL1	XM_026100646.2#PUSL1
LOC112981126	XM_064525468.1#LOC112981126
MMP23B	XM_026096489.2#MMP23B
PRKCZ	XM_026096502.2#PRKCZ
MMEL1	XM_064525418.1#MMEL1
KCNAB2	XM_064525389.1#KCNAB2
PER3	XM_064525342.1#PER3
INPP5B	XM_064525283.1#INPP5B
MEAF6	XM_064525267.1#MEAF6
DLGAP3	XM_064525215.1#DLGAP3
KPNA6	XM_026098217.2#KPNA6
LOC112982059	XM_026098153.2#LOC112982059
LDLRAP1	XM_026098218.2#LDLRAP1
PAFAH2	XM_064525063.1#PAFAH2
DHDDS	XM_064525043.1#DHDDS
RPS6KA1	XM_026098099.2#RPS6KA1
GMEB1	XM_026096697.2#GMEB1
TAF12	XM_026096703.2#TAF12
LOC112981187	XM_064524947.1#LOC112981187
HIVEP3	XM_064524928.1#HIVEP3
NBR1	XM_026113567.2#NBR1
NBR1	XM_064524832.1#NBR1
EZH1	XM_026121028.2#EZH1
EZH1	XM_064524805.1#EZH1
MLX	XM_064524798.1#MLX
RARA	XM_064524731.1#RARA
IKZF3	XM_026117849.2#IKZF3
PPP1R1B	XM_064524705.1#PPP1R1B
FBXL20	XM_064524698.1#FBXL20
ARHGAP23	XM_064524668.1#ARHGAP23
NFE2L1	XM_064524638.1#NFE2L1
LOC112987190	XM_064524634.1#LOC112987190
HOXB7	XM_026106964.2#HOXB7
HOXB7	XM_026106963.2#HOXB7
FAM117A	XM_064524609.1#FAM117A
KAT7	XM_026106937.2#KAT7
MPP2	XM_064524567.1#MPP2
RUNDC3A	XM_064524576.1#RUNDC3A
SLC37A2	XM_064524380.1#SLC37A2
MSANTD2	XM_064524371.1#MSANTD2
FOXRED1	XM_064524352.1#FOXRED1
ST14	XM_026097300.2#ST14
LOC112982669	XM_064524305.1#LOC112982669
UBASH3B	XM_064524286.1#UBASH3B
DIXDC1	XM_064524224.1#DIXDC1
NCAM1	XM_064524223.1#NCAM1
NCAM1	XM_064524220.1#NCAM1
TTC12	XM_026118529.2#TTC12
SMIM35	XM_064524198.1#SMIM35
GARNL3	XM_026112183.2#GARNL3
GARNL3	XM_026112184.2#GARNL3
MVB12B	XM_064524004.1#MVB12B
SCAI	XM_064523985.1#SCAI
SCAI	XM_064523982.1#SCAI
NR6A1	XM_064523972.1#NR6A1
NR6A1	XM_064523968.1#NR6A1
NR6A1	XM_064523969.1#NR6A1
TTLL11	XM_064523914.1#TTLL11
TTLL11	XM_064523913.1#TTLL11
DAB2IP	XM_064523905.1#DAB2IP
DAB2IP	XM_026094377.2#DAB2IP
DAB2IP	XM_026094378.2#DAB2IP
DAB2IP	XM_026094376.2#DAB2IP
STOM	XM_064523903.1#STOM
CNTRL	XM_064523893.1#CNTRL
CNTRL	XM_064523891.1#CNTRL
CNTRL	XM_064523888.1#CNTRL
C5	XM_026094469.2#C5
OLFM1	XM_064523854.1#OLFM1
ADAMTSL2	XM_064523832.1#ADAMTSL2
ADAMTS13	XM_064523814.1#ADAMTS13
ADAMTS13	XM_064523815.1#ADAMTS13
ADAMTS13	XM_026094439.2#ADAMTS13
SPACA9	XM_064523811.1#SPACA9
AK8	XM_026101795.2#AK8
ABL1	XM_026101756.2#ABL1
ABL1	XM_026101757.2#ABL1
FUBP3	XM_026101778.2#FUBP3
FUBP3	XM_026101779.2#FUBP3
CRAT	XM_064523745.1#CRAT
EHMT1	XM_026113759.2#EHMT1
SLC31A1	XM_026113806.2#SLC31A1
ZNF618	XM_064523590.1#ZNF618
ZNF618	XM_064523583.1#ZNF618
ZNF618	XM_064523582.1#ZNF618
TRAF2	XM_026106214.2#TRAF2
CUX1	XM_064523404.1#CUX1
DTX2	XM_064523381.1#DTX2
LOC112986378	XM_064523343.1#LOC112986378
INPP5K	XM_026105595.2#INPP5K
MYO18A	XM_064523248.1#MYO18A
MYO18A	XM_064523245.1#MYO18A
MYO18A	XM_064523244.1#MYO18A
ASPA	XM_026101448.2#ASPA
ASPA	XM_026101446.2#ASPA
BCAS3	XM_064523134.1#BCAS3
MSI2	XM_064523076.1#MSI2
CLUH	XM_026106534.2#CLUH
CLUH	XM_064523013.1#CLUH
RAP1GAP2	XM_064523005.1#RAP1GAP2
PIMREG	XM_064522990.1#PIMREG
VCF1	XM_064522813.1#VCF1
LOC112982506	XM_026098972.2#LOC112982506
LOC112982506	XM_026098971.2#LOC112982506
RGS9	XM_064522768.1#RGS9
HELZ	XM_064522750.1#HELZ
HELZ	XM_064522751.1#HELZ
RHOT1	XM_026098988.2#RHOT1
MBTD1	XM_026099141.2#MBTD1
RAB37	XM_064522638.1#RAB37
RAB37	XM_026099153.2#RAB37
MRPS7	XM_026099076.2#MRPS7
ACOX1	XM_026099004.2#ACOX1
SEPTIN9	XM_064522527.1#SEPTIN9
SEPTIN9	XM_026103886.2#SEPTIN9
LOC112985325	XM_064522523.1#LOC112985325
MAP2K4	XM_064522509.1#MAP2K4
MAP2K4	XM_064522511.1#MAP2K4
MYOCD	XM_064522492.1#MYOCD
ARHGAP44	XM_064522470.1#ARHGAP44
ARHGAP44	XM_064522468.1#ARHGAP44
ARHGAP44	XM_064522469.1#ARHGAP44
SELENOM	XM_064522357.1#SELENOM
TESC	XM_064522324.1#TESC
TPCN1	XM_026119199.2#TPCN1
TPCN1	XM_064522300.1#TPCN1
PXN	XM_026119048.2#PXN
PISD	XM_064522247.1#PISD
PISD	XM_064522248.1#PISD
DEPDC5	XM_064522229.1#DEPDC5
CABIN1	XM_064522190.1#CABIN1
CABIN1	XM_064522189.1#CABIN1
LOC112992785	XM_026116019.2#LOC112992785
DGCR2	XM_064522167.1#DGCR2
SEPTIN5	XM_026104301.2#SEPTIN5
SEPTIN5	XM_026104302.2#SEPTIN5
ARVCF	XM_064522119.1#ARVCF
PUS1	XM_064522050.1#PUS1
SFSWAP	XM_064522043.1#SFSWAP
ATXN2	XM_064521935.1#ATXN2
ATXN2	XM_064521933.1#ATXN2
ATXN2	XM_064521930.1#ATXN2
ATXN2	XM_064521932.1#ATXN2
ATXN2	XM_064521927.1#ATXN2
ATXN2	XM_064521931.1#ATXN2
ATXN2	XM_064521922.1#ATXN2
ATXN2	XM_064521928.1#ATXN2
ATXN2	XM_064521921.1#ATXN2
ATXN2	XM_064521920.1#ATXN2
CORO1C	XM_064521895.1#CORO1C
UNG	XM_064521890.1#UNG
SGSM1	XM_064521872.1#SGSM1
SGSM1	XM_064521868.1#SGSM1
SGSM1	XM_064521869.1#SGSM1
CCDC117	XM_064521854.1#CCDC117
SUSD2	XM_026111651.2#SUSD2
SUSD2	XM_026111650.2#SUSD2
LOC112992160	XM_026115060.2#LOC112992160
NCOA5	XM_064521758.1#NCOA5
RPRD1B	XM_064521736.1#RPRD1B
RTEL1	XM_064521658.1#RTEL1
UCKL1	XM_064521640.1#UCKL1
EYA2	XM_064521450.1#EYA2
HNF4A	XM_064521440.1#HNF4A
RPN2	XM_026093004.2#RPN2
ARHGAP40	XM_026093034.2#ARHGAP40
EPB41L1	XM_064521377.1#EPB41L1
EPB41L1	XM_064521376.1#EPB41L1
NFS1	XM_064521334.1#NFS1
RBM12	XM_064521322.1#RBM12
ERGIC3	XM_064521307.1#ERGIC3
LOC112983182	XM_026100119.2#LOC112983182
KDM3B	XM_064521212.1#KDM3B
JAKMIP2	XM_026118251.2#JAKMIP2
PPP2R2B	XM_064521204.1#PPP2R2B
PPP2R2B	XM_026118291.2#PPP2R2B
TCERG1	XM_064521203.1#TCERG1
TCERG1	XM_064521202.1#TCERG1
TCERG1	XM_064521200.1#TCERG1
TCERG1	XM_064521199.1#TCERG1
PRELID2	XM_064521190.1#PRELID2
CLK4	XM_064521083.1#CLK4
RASGEF1C	XM_064521079.1#RASGEF1C
UIMC1	XM_026122716.2#UIMC1
SIMC1	XM_026122630.2#SIMC1
LOC112994351	XM_064520896.1#LOC112994351
FBXO38	XM_064520871.1#FBXO38
ATP10B	XM_064520856.1#ATP10B
FGF18	XM_026097708.2#FGF18
FBXW11	XM_064520820.1#FBXW11
FBXW11	XM_064520816.1#FBXW11
LRRTM2	XM_026097705.2#LRRTM2
MATR3	XM_026097729.2#MATR3
LOC112981804	XM_064520765.1#LOC112981804
LOC112981804	XM_064520766.1#LOC112981804
LOC112993838	XM_064520758.1#LOC112993838
LOC112993838	XM_064520759.1#LOC112993838
ANKHD1	XM_064520700.1#ANKHD1
ANKHD1	XM_064520701.1#ANKHD1
VRK3	XM_064520679.1#VRK3
CRAMP1	XM_026100456.2#CRAMP1
CRAMP1	XM_026100455.2#CRAMP1
MAPK8IP3	XM_064520630.1#MAPK8IP3
IL20RB	XM_026107695.2#IL20RB
GTF3C1	XM_026107711.2#GTF3C1
RGS11	XM_064520571.1#RGS11
RGS11	XM_064520572.1#RGS11
LUC7L	XM_064520568.1#LUC7L
CORO7	XM_064520526.1#CORO7
SEPTIN12	XM_064520493.1#SEPTIN12
TXNDC11	XM_026096367.2#TXNDC11
TXNDC11	XM_026096366.2#TXNDC11
PARN	XM_064520372.1#PARN
MRTFB	XM_026096381.2#MRTFB
XYLT1	XM_064520331.1#XYLT1
ZFAND2A	XM_026116078.2#ZFAND2A
LOC112992903	XM_026116201.2#LOC112992903
FOXK1	XM_064520164.1#FOXK1
ARHGAP17	XM_026103944.2#ARHGAP17
KARS1	XM_064519906.1#KARS1
WWP2	XM_026104269.2#WWP2
WWP2	XM_064519878.1#WWP2
WWP2	XM_026104268.2#WWP2
CBFA2T3	XM_064519813.1#CBFA2T3
CBFA2T3	XM_064519814.1#CBFA2T3
CTU2	XM_064519809.1#CTU2
CA5A	XM_064519785.1#CA5A
ADAMTS18	XM_064519724.1#ADAMTS18
DYNC1LI2	XM_064519710.1#DYNC1LI2
CEP89	XM_064519659.1#CEP89
MYLK3	XM_064519597.1#MYLK3
PHKB	XM_026102242.2#PHKB
N4BP1	XM_064519583.1#N4BP1
CHD9	XM_026102175.2#CHD9
LOC112984320	XM_026102117.2#LOC112984320
NECAB2	XM_064519480.1#NECAB2
CFAP20	XM_064519386.1#CFAP20
KIFC3	XM_064519376.1#KIFC3
CTCF	XM_064519312.1#CTCF
CTCF	XM_064519310.1#CTCF
TMCC1	XM_026099639.2#TMCC1
TMCC1	XM_064519271.1#TMCC1
TMCC1	XM_064519272.1#TMCC1
TMCC1	XM_064519273.1#TMCC1
LOC112982910	XM_026099647.2#LOC112982910
CHL1	XM_026110524.2#CHL1
TAFA4	XM_064519177.1#TAFA4
LOC112984681	XM_064519073.1#LOC112984681
CHST13	XM_064518987.1#CHST13
TASOR	XM_026096300.2#TASOR
TASOR	XM_026096297.2#TASOR
TASOR	XM_064518917.1#TASOR
TASOR	XM_026096299.2#TASOR
BICD2	XM_026102823.2#BICD2
CARD19	XM_064518890.1#CARD19
CARD19	XM_064518892.1#CARD19
EFCC1	XM_064518852.1#EFCC1
LOC112986184	XM_026105343.2#LOC112986184
LOC112986208	XM_064518673.1#LOC112986208
IFRD2	XM_064518569.1#IFRD2
ZC4H2	XM_064518518.1#ZC4H2
DRP2	XM_064518427.1#DRP2
LOC112989747	XM_064518411.1#LOC112989747
TAF1	XM_064518404.1#TAF1
DLG3	XM_064518380.1#DLG3
DLG3	XM_064518379.1#DLG3
KLHL13	XM_026110969.2#KLHL13
PCDH11X	XM_026097616.2#PCDH11X
APOOL	XM_026101295.2#APOOL
IDS	XM_064518256.1#IDS
KIAA1210	XM_026123104.2#KIAA1210
SEPTIN6	XM_064518203.1#SEPTIN6
ZBTB33	XM_064518190.1#ZBTB33
LOC112982978	XM_064518100.1#LOC112982978
LOC112983309	XM_026100344.2#LOC112983309
NHSL2	XM_064517996.1#NHSL2
ENOX2	XM_064517966.1#ENOX2
LOC112990889	XM_064517959.1#LOC112990889
NEO1	XM_064517637.1#NEO1
NEO1	XM_064517638.1#NEO1
SCAPER	XM_064517563.1#SCAPER
SCAPER	XM_064517565.1#SCAPER
DAPK2	XM_064517532.1#DAPK2
USP3	XM_026113408.2#USP3
LIPC	XM_064517436.1#LIPC
ZNF280D	XM_064517414.1#ZNF280D
NEDD4	XM_064517407.1#NEDD4
ATOSA	XM_064517381.1#ATOSA
ATOSA	XM_064517383.1#ATOSA
COPS2	XM_064517332.1#COPS2
SPPL2A	XM_064517323.1#SPPL2A
GABPB1	XM_064517315.1#GABPB1
PDE8A	XM_064517313.1#PDE8A
LOC112996307	XM_064517874.1#LOC112996307
DPP8	XM_064517866.1#DPP8
MAP2K1	XM_026121662.2#MAP2K1
PIAS1	XM_064517848.1#PIAS1
ITGA11	XM_026110727.2#ITGA11
CORO2B	XM_064517845.1#CORO2B
KIF23	XM_026110733.2#KIF23
PRC1	XM_026120249.2#PRC1
TRA2B	XM_026116305.2#TRA2B
DGKG	XM_064517129.1#DGKG
FARP2	XM_064517119.1#FARP2
FARP2	XM_064517118.1#FARP2
CRYGS	XM_026100536.2#CRYGS
CEP63	XM_064517073.1#CEP63
INPP5D	XM_026109756.2#INPP5D
SAP130	XM_064516983.1#SAP130
MAP6D1	XM_026109751.2#MAP6D1
LOC112988924	XM_026109767.2#LOC112988924
NMNAT3	XM_026109739.2#NMNAT3
DOCK10	XM_064516907.1#DOCK10
DOCK10	XM_026109667.2#DOCK10
SPHKAP	XM_064516879.1#SPHKAP
FGF12	XM_064516792.1#FGF12
LRCH3	XM_064516759.1#LRCH3
COPS7B	XM_026117561.2#COPS7B
ATP11B	XM_064516656.1#ATP11B
ATP11B	XM_064516658.1#ATP11B
DNAJC19	XM_026094775.2#DNAJC19
FXR1	XM_064516653.1#FXR1
FXR1	XM_064516652.1#FXR1
LOC112991210	XM_064516635.1#LOC112991210
LOC112991210	XM_026113542.2#LOC112991210
NAALADL2	XM_026105713.2#NAALADL2
GOLIM4	XM_064516587.1#GOLIM4
GFM1	XM_026096828.2#GFM1
MBNL1	XM_064516500.1#MBNL1
AADAC	XM_064516491.1#AADAC
MED12L	XM_064516473.1#MED12L
MED12L	XM_064516468.1#MED12L
TSC22D2	XM_064516448.1#TSC22D2
HLTF	XM_064516433.1#HLTF
HLTF	XM_064516435.1#HLTF
LOC112982250	XM_026098506.2#LOC112982250
MIER1	XM_026098535.2#MIER1
LEPR	XM_026113977.2#LEPR
LEPR	XM_026113972.2#LEPR
DNAJC6	XM_064516326.1#DNAJC6
NFIA	XM_064516281.1#NFIA
NFIA	XM_064516279.1#NFIA
NFIA	XM_064516280.1#NFIA
NFIA	XM_064516277.1#NFIA
LOC112986261	XM_064516213.1#LOC112986261
EPS15	XM_064516195.1#EPS15
STIL	XM_026104587.2#STIL
MKNK1	XM_026104370.2#MKNK1
MAST2	XM_064516155.1#MAST2
DMAP1	XM_026096788.2#DMAP1
IPO13	XM_064516092.1#IPO13
SZT2	XM_064516078.1#SZT2
SZT2	XM_064516081.1#SZT2
SZT2	XM_064516079.1#SZT2
SZT2	XM_026096747.2#SZT2
SZT2	XM_064516077.1#SZT2
CFAP144	XM_026096780.2#CFAP144
PRKACB	XM_064516008.1#PRKACB
PRKACB	XM_064516009.1#PRKACB
SYDE2	XM_064515974.1#SYDE2
EVI5	XM_026116445.2#EVI5
BCAR3	XM_026116538.2#BCAR3
SLC44A3	XM_026094276.2#SLC44A3
PTBP2	XM_064515877.1#PTBP2
DPYD	XM_064515871.1#DPYD
SLC35A3	XM_064515849.1#SLC35A3
DPH5	XM_064515837.1#DPH5
LOC112979776	XM_064515834.1#LOC112979776
LOC112979776	XM_064515835.1#LOC112979776
NTNG1	XM_064515815.1#NTNG1
PTPRC	XM_064515779.1#PTPRC
PTPRC	XM_064515778.1#PTPRC
KCNT2	XM_064515757.1#KCNT2
KCNT2	XM_064515755.1#KCNT2
PRRC2C	XM_064515687.1#PRRC2C
PRRC2C	XM_064515683.1#PRRC2C
PRRC2C	XM_064515682.1#PRRC2C
PRRC2C	XM_064515678.1#PRRC2C
PRRC2C	XM_064515677.1#PRRC2C
PRRX1	XM_064515675.1#PRRX1
PBX1	XM_026123390.2#PBX1
ABL2	XM_064515629.1#ABL2
RASAL2	XM_064515619.1#RASAL2
RASAL2	XM_064515617.1#RASAL2
RASAL2	XM_064515616.1#RASAL2
ZBTB37	XM_064515596.1#ZBTB37
LOC112986625	XM_026105998.2#LOC112986625
LOC112986625	XM_064515470.1#LOC112986625
LOC112986625	XM_026105996.2#LOC112986625
LOC112986625	XM_026106001.2#LOC112986625
FTCD	XM_026107417.2#FTCD
COL6A3	XM_064515399.1#COL6A3
COL6A3	XM_064515397.1#COL6A3
COL6A3	XM_064515394.1#COL6A3
COL6A3	XM_064515398.1#COL6A3
COL6A3	XM_064515393.1#COL6A3
FN1	XM_064515357.1#FN1
NRP2	XM_064515256.1#NRP2
NRP2	XM_064515257.1#NRP2
CLK1	XM_026106039.2#CLK1
SPATS2L	XM_064515188.1#SPATS2L
RFTN2	XM_026103546.2#RFTN2
PDE1A	XM_064515041.1#PDE1A
CIR1	XM_064514975.1#CIR1
GALNT3	XM_064514876.1#GALNT3
COBLL1	XM_064514862.1#COBLL1
COBLL1	XM_064514864.1#COBLL1
SLC4A10	XM_026094521.2#SLC4A10
SLC4A10	XM_064514849.1#SLC4A10
ITGB6	XM_026094663.2#ITGB6
SLC15A2	XM_026118479.2#SLC15A2
PARP9	XM_026109093.2#PARP9
R3HDM1	XM_064514615.1#R3HDM1
R3HDM1	XM_064514613.1#R3HDM1
R3HDM1	XM_026108723.2#R3HDM1
R3HDM1	XM_026108728.2#R3HDM1
FMNL2	XM_064514532.1#FMNL2
FMNL2	XM_064514537.1#FMNL2
ACVR1	XM_064514524.1#ACVR1
CCDC148	XM_064514523.1#CCDC148
TANC1	XM_064514501.1#TANC1
ALDH18A1	XM_064514441.1#ALDH18A1
DOCK1	XM_026115845.2#DOCK1
PLPP4	XM_064514312.1#PLPP4
GRK5	XM_064514298.1#GRK5
GRK5	XM_064514297.1#GRK5
ATRNL1	XM_026096164.2#ATRNL1
DCLRE1A	XM_026117462.2#DCLRE1A
SH3PXD2A	XM_026117534.2#SH3PXD2A
NEURL1	XM_026117436.2#NEURL1
CNNM2	XM_064514174.1#CNNM2
SLF2	XM_064514162.1#SLF2
LCOR	XM_064514112.1#LCOR
CNNM1	XM_064514085.1#CNNM1
CUTC	XM_064514081.1#CUTC
EXOC6	XM_064514047.1#EXOC6
EXOC6	XM_064514051.1#EXOC6
EXOC6	XM_064514049.1#EXOC6
LGI1	XM_026094168.2#LGI1
PANK1	XM_064514021.1#PANK1
VDAC2	XM_064513832.1#VDAC2
RPS24	XM_026116807.2#RPS24
NCOA4	XM_064513765.1#NCOA4
GRID1	XM_064513740.1#GRID1
LRRTM3	XM_026106382.2#LRRTM3
HNRNPH3	XM_026106407.2#HNRNPH3
TET1	XM_064513655.1#TET1
OIT3	XM_064513593.1#OIT3
UBE2D1	XM_026106014.2#UBE2D1
A1CF	XM_026097429.2#A1CF
LOC112981622	XM_064513548.1#LOC112981622
CLCF1	XM_026109247.2#CLCF1
MRPL16	XM_064513432.1#MRPL16
LOC112988671	XM_026109308.2#LOC112988671
LOC112988671	XM_026109307.2#LOC112988671
FNTB	XM_026117144.2#FNTB
GAL	XM_026114206.2#GAL
LOC112993637	XM_064513158.1#LOC112993637
LOC112993637	XM_026117433.2#LOC112993637
MOB2	XM_064513154.1#MOB2
MOB2	XM_026092769.2#MOB2
LSP1	XM_064513146.1#LSP1
SERGEF	XM_064513110.1#SERGEF
LOC135328525	XM_064513107.1#LOC135328525
LMO1	XM_064513058.1#LMO1
TRIM66	XM_064513041.1#TRIM66
IRAG1	XM_064512998.1#IRAG1
IRAG1	XM_064512999.1#IRAG1
IRAG1	XM_064512997.1#IRAG1
IRAG1	XM_064513000.1#IRAG1
QSER1	XM_064512909.1#QSER1
WT1	XM_064512920.1#WT1
NELL1	XM_064512850.1#NELL1
