ENSBTAG00000017942	ENSBTAT00000056382#CRTC2
ENSBTAG00000022167	ENSBTAT00000097404#DERA
ENSBTAG00000013305	ENSBTAT00000124203#ENSBTAG00000013305
ENSBTAG00000015729	ENSBTAT00000020879#ADH7
ENSBTAG00000014456	ENSBTAT00000073620#ERN2
ENSBTAG00000024195	ENSBTAT00000043254#LDLRAD1
ENSBTAG00000001335	ENSBTAT00000036771#GHR
ENSBTAG00000008605	XM_024980543#DNAH2
ENSBTAG00000057675	ENSBTAT00000123496#ENSBTAG00000057675
ENSBTAG00000037539	NM_001101158#ENSBTAG00000037539
ENSBTAG00000030624	ENSBTAT00000043285#WFDC5
ENSBTAG00000003114	ENSBTAT00000108591#AVL9
ENSBTAG00000018499	ENSBTAT00000092429#ANXA8L1
ENSBTAG00000015707	ENSBTAT00000063758#TREML2
ENSBTAG00000015526	ENSBTAT00000020633#PIWIL3
ENSBTAG00000020698	ENSBTAT00000067196#MTHFR
ENSBTAG00000035054	ENSBTAT00000061549#COL9A1
ENSBTAG00000055584	ENSBTAT00000116986#ENSBTAG00000055584
ENSBTAG00000020809	NM_001206180#SLC36A2
ENSBTAG00000001412	ENSBTAT00000074692#N6AMT1
ENSBTAG00000012375	ENSBTAT00000103658#KLHL9
ENSBTAG00000001410	XM_024975268#GRAMD1B
ENSBTAG00000068644	ENSBTAT00000101393#ENSBTAG00000068644
ENSBTAG00000006667	XM_024998638#EPB41
ENSBTAG00000004854	ENSBTAT00000130743#SLC24A5
ENSBTAG00000015416	NM_001034440#PEBP4
ENSBTAG00000004940	XM_059880928#CELF4
ENSBTAG00000061249	ENSBTAT00000109754#ENSBTAG00000061249
ENSBTAG00000001788	ENSBTAT00000077710#PDPN
ENSBTAG00000006679	XM_005222626#MITF
ENSBTAG00000005133	XM_010807996#ANKS6
XM_059882732	XM_059882732#LOC132344155
ENSBTAG00000003022	NM_174825#CATHL1
ENSBTAG00000039675	XM_059889370#IFNW1
ENSBTAG00000052708	XM_024976859#RC3H1
ENSBTAG00000033140	ENSBTAT00000047081#LRRC3B
ENSBTAG00000005337	ENSBTAT00000007019#RAB3B
ENSBTAG00000002980	ENSBTAT00000003881#GPT2
ENSBTAG00000008168	XM_059881090#STARD6
ENSBTAG00000022829	XM_010819015#OACYL
ENSBTAG00000015460	ENSBTAT00000079852#TP63
ENSBTAG00000051088	ENSBTAT00000024349#ENSBTAG00000051088
ENSBTAG00000003968	ENSBTAT00000101318#UBP1
ENSBTAG00000050099	ENSBTAT00000069969#ENSBTAG00000050099
ENSBTAG00000019349	XM_024979631#SLC6A4
ENSBTAG00000017164	ENSBTAT00000127225#LARP4
ENSBTAG00000051604	ENSBTAT00000082785#TRO
ENSBTAG00000004676	NM_001046272#TMEM184A
ENSBTAG00000009797	XM_024977665#RIMBP2
ENSBTAG00000007442	XM_024990974#AKAP9
ENSBTAG00000008836	XM_005210417#ZNF782
ENSBTAG00000033268	XM_025001711#ZFHX4
ENSBTAG00000062098	ENSBTAT00000101029#ENSBTAG00000062098
ENSBTAG00000016578	ENSBTAT00000103671#HNRNPR
ENSBTAG00000062411	NM_001390435#OR12D18
ENSBTAG00000006447	ENSBTAT00000008455#ACSM3
ENSBTAG00000033464	XM_005226805#SPA17
ENSBTAG00000053484	XM_024984611#CTDP1
ENSBTAG00000019456	ENSBTAT00000068413#SPRED2
ENSBTAG00000018271	ENSBTAT00000082794#SLC38A10
ENSBTAG00000038291	ENSBTAT00000055085#PRSS51
ENSBTAG00000054469	ENSBTAT00000086594#SLC25A53
ENSBTAG00000062297	ENSBTAT00000123299#TTC36
ENSBTAG00000027387	NM_001101269#NRSN2
ENSBTAG00000021325	ENSBTAT00000084175#SLC19A3
ENSBTAG00000001735	ENSBTAT00000079502#ADAM11
ENSBTAG00000034393	ENSBTAT00000071957#FAM149A
ENSBTAG00000009585	XM_005218493#CDH16
ENSBTAG00000021538	XM_002690853#MYO1E
ENSBTAG00000001305	XM_059879835#ATP2B2
ENSBTAG00000026234	NM_001079607#STK3
ENSBTAG00000018629	ENSBTAT00000024789#CWF19L2
ENSBTAG00000059983	ENSBTAT00000115238#ENSBTAG00000059983
ENSBTAG00000062435	ENSBTAT00000099523#ENSBTAG00000062435
ENSBTAG00000016234	XM_005211901#DUOX2
ENSBTAG00000039980	XM_059886763#CLECL1
ENSBTAG00000008068	ENSBTAT00000134729#ERLEC1
ENSBTAG00000002633	ENSBTAT00000073669#SEPTIN9
ENSBTAG00000006030	ENSBTAT00000007923#MYOG
ENSBTAG00000013557	XM_059888137#ERAP1
ENSBTAG00000022466	XM_059881010#C24H18orf63
ENSBTAG00000002297	ENSBTAT00000002971#CACNB4
ENSBTAG00000008821	XM_005214175#SEPHS1
ENSBTAG00000006678	ENSBTAT00000008766#GATAD2B
ENSBTAG00000002295	ENSBTAT00000122637#ATF2
ENSBTAG00000015208	XM_059890387#CARMIL3
ENSBTAG00000011313	ENSBTAT00000127450#CASP8AP2
ENSBTAG00000056286	ENSBTAT00000126276#ENSBTAG00000056286
ENSBTAG00000049233	ENSBTAT00000075133#TMEM123
ENSBTAG00000004246	ENSBTAT00000102247#H6PD
ENSBTAG00000001116	ENSBTAT00000001477#P4HA2
ENSBTAG00000006187	ENSBTAT00000008130#MFAP4
ENSBTAG00000025837	XM_005206762#RFX4
ENSBTAG00000054800	ENSBTAT00000068417#HES6
XM_059874416	XM_059874416#LOC132342190
ENSBTAG00000005235	ENSBTAT00000134751#DPP10
ENSBTAG00000058018	ENSBTAT00000092092#ENSBTAG00000058018
ENSBTAG00000017919	ENSBTAT00000071100#CNOT4
ENSBTAG00000021771	NM_001046594#PTTG1IP
ENSBTAG00000003178	ENSBTAT00000094500#ATE1
ENSBTAG00000014238	ENSBTAT00000113206#ATP6V1E1
ENSBTAG00000019058	XM_059887111#IQSEC3
ENSBTAG00000019406	ENSBTAT00000025854#IGF2BP3
ENSBTAG00000001119	ENSBTAT00000070306#ANKRD13B
ENSBTAG00000048366	XM_025001172#SNPH
ENSBTAG00000019836	ENSBTAT00000026427#GSKIP
ENSBTAG00000000945	ENSBTAT00000119544#ATP2C2
ENSBTAG00000047793	ENSBTAT00000124360#TSSC4
ENSBTAG00000047531	NM_001102540#ARHGAP4
ENSBTAG00000021953	ENSBTAT00000092340#LARGE1
ENSBTAG00000032521	XM_002691298#PLEKHH2
ENSBTAG00000040063	ENSBTAT00000129162#ENSBTAG00000040063
ENSBTAG00000068404	ENSBTAT00000135464#TVP23A
ENSBTAG00000014380	XM_024983123#MCM2
ENSBTAG00000055956	ENSBTAT00000101256#ENSBTAG00000055956
ENSBTAG00000002985	ENSBTAT00000075522#KCNMB1
ENSBTAG00000010849	ENSBTAT00000074804#ANKRD23
ENSBTAG00000018467	XM_024998139#BBOF1
ENSBTAG00000011162	ENSBTAT00000014826#ZKSCAN2
ENSBTAG00000040199	ENSBTAT00000114687#POLR2H
ENSBTAG00000068335	ENSBTAT00000134876#ENSBTAG00000068335
ENSBTAG00000009154	ENSBTAT00000012063#U2SURP
ENSBTAG00000044017	ENSBTAT00000060985#MSRB3
ENSBTAG00000002219	NM_001105462#ATAD3A
ENSBTAG00000008433	XM_010812668#PGAP2
ENSBTAG00000017063	ENSBTAT00000022699#EPB41L4B
ENSBTAG00000014089	XM_059879166#PPCDC
ENSBTAG00000054447	ENSBTAT00000074646#ENSBTAG00000054447
ENSBTAG00000057162	ENSBTAT00000127387#ENSBTAG00000057162
ENSBTAG00000010504	ENSBTAT00000013895#TBRG4
ENSBTAG00000062520	ENSBTAT00000110068#ENSBTAG00000062520
ENSBTAG00000009235	ENSBTAT00000117225#KCNMB3
ENSBTAG00000054545	NM_001077953#RNF11
ENSBTAG00000011356	XM_015472021#CAMSAP3
ENSBTAG00000000231	ENSBTAT00000000282#BMPR1A
ENSBTAG00000014945	XM_024988850#IQSEC2
ENSBTAG00000020701	XM_059888098#MEF2C
ENSBTAG00000047036	ENSBTAT00000065884#GPR39
ENSBTAG00000038945	ENSBTAT00000119299#PADI6
ENSBTAG00000007783	NM_001075448#MYBL2
ENSBTAG00000004464	XM_002696073#HROB
ENSBTAG00000004407	ENSBTAT00000005781#KCNK2
ENSBTAG00000014584	NM_001101917#SLC22A10
ENSBTAG00000020992	ENSBTAT00000027954#RHBDL3
ENSBTAG00000019177	XM_024977745#BIN1
ENSBTAG00000000785	ENSBTAT00000116361#PASK
ENSBTAG00000046130	NM_001390694#OR8D2
ENSBTAG00000015296	XM_005206432#PTPRB
ENSBTAG00000015907	NM_001098466#IRX4
ENSBTAG00000020533	ENSBTAT00000120655#FBXO34
ENSBTAG00000045905	ENSBTAT00000083435#PCDH15
ENSBTAG00000024449	ENSBTAT00000079772#CENPF
ENSBTAG00000001911	ENSBTAT00000112950#ENSBTAG00000001911
ENSBTAG00000068035	NM_001389788#OR2A7
ENSBTAG00000010176	ENSBTAT00000013428#ILKAP
ENSBTAG00000012628	ENSBTAT00000091036#SLC1A2
ENSBTAG00000056900	ENSBTAT00000093688#ENSBTAG00000056900
NM_001113306	NM_001113306#TOMM7
ENSBTAG00000017251	XM_005223336#SLC26A8
ENSBTAG00000014786	XM_059879520#PBRM1
ENSBTAG00000068810	XM_015471977#ENSBTAG00000068810
ENSBTAG00000010859	ENSBTAT00000093140#HYLS1
ENSBTAG00000010318	NM_001080226#FDX2
ENSBTAG00000045704	NM_001076921#IGSF11
ENSBTAG00000060421	ENSBTAT00000110402#ENSBTAG00000060421
ENSBTAG00000004832	ENSBTAT00000120303#KIF21A
ENSBTAG00000068818	ENSBTAT00000108862#ENSBTAG00000068818
ENSBTAG00000038496	ENSBTAT00000063039#CR2
ENSBTAG00000007934	ENSBTAT00000102715#MRPS17
ENSBTAG00000068434	ENSBTAT00000103231#CMKLR1
ENSBTAG00000051077	ENSBTAT00000081774#ENSBTAG00000051077
ENSBTAG00000021209	XM_005215567#UBR5
ENSBTAG00000013935	NM_001075816#NTPCR
ENSBTAG00000062956	ENSBTAT00000121073#ADAT3
ENSBTAG00000068343	ENSBTAT00000124249#ENSBTAG00000068343
ENSBTAG00000006974	ENSBTAT00000070183#PLEKHA7
ENSBTAG00000005314	XM_059875435#MFN2
ENSBTAG00000027024	ENSBTAT00000038690#ARHGAP5
ENSBTAG00000044074	XM_025000951#MLLT10
ENSBTAG00000019139	XM_024996622#PHF3
ENSBTAG00000019949	ENSBTAT00000072006#DBR1
ENSBTAG00000032331	NM_001191205#SLC48A1
ENSBTAG00000021769	NM_001192806#CUL3
ENSBTAG00000011333	XM_059879731#CLASP2
ENSBTAG00000021818	ENSBTAT00000029084#ADGRE5
ENSBTAG00000019138	NM_001078155#KIF3C
ENSBTAG00000055854	ENSBTAT00000116940#ENSBTAG00000055854
ENSBTAG00000063663	ENSBTAT00000126419#ENSBTAG00000063663
NM_001390258	NM_001390258#OR5M13D
ENSBTAG00000007875	NM_001099715#SAFB
ENSBTAG00000007788	ENSBTAT00000074545#GRIPAP1
ENSBTAG00000017976	ENSBTAT00000023920#ABL1
ENSBTAG00000014177	XM_010816782#C6
ENSBTAG00000054246	ENSBTAT00000085191#C15H11orf65
ENSBTAG00000047448	ENSBTAT00000111939#C25H16orf54
ENSBTAG00000006675	ENSBTAT00000096629#PCSK6
ENSBTAG00000047594	ENSBTAT00000066316#CCNO
ENSBTAG00000020247	ENSBTAT00000063163#ADCYAP1R1
ENSBTAG00000016504	XM_024990258#AGAP1
ENSBTAG00000069320	ENSBTAT00000105327#ENSBTAG00000069320
ENSBTAG00000022069	ENSBTAT00000076058#ATXN2
ENSBTAG00000010923	ENSBTAT00000108023#RAB9A
ENSBTAG00000065079	XM_059889377#IFNB3
ENSBTAG00000001710	NM_001046358#CMTM8
ENSBTAG00000005847	ENSBTAT00000076992#ROCK2
ENSBTAG00000003955	XM_015474829#MYO7A
ENSBTAG00000009049	XM_005206535#TMEM198B
ENSBTAG00000000221	XM_059882564#RBM34
ENSBTAG00000018361	XM_024992132#R3HDM2
ENSBTAG00000006177	ENSBTAT00000008119#ZDHHC20
ENSBTAG00000054325	ENSBTAT00000080806#ENSBTAG00000054325
ENSBTAG00000068718	ENSBTAT00000049925#ENSBTAG00000068718
ENSBTAG00000038058	XM_024975276#ENSBTAG00000038058
XM_059887292	XM_059887292#LOC132345399
ENSBTAG00000066607	ENSBTAT00000099752#ENSBTAG00000066607
ENSBTAG00000000212	ENSBTAT00000000257#NADK
ENSBTAG00000018737	XM_010803295#GLMN
ENSBTAG00000058370	ENSBTAT00000103895#TASL
ENSBTAG00000063777	ENSBTAT00000088306#ENSBTAG00000063777
ENSBTAG00000019834	ENSBTAT00000107818#ARL15
ENSBTAG00000000273	ENSBTAT00000000339#IL5RA
ENSBTAG00000001598	XM_024996466#MAP7
ENSBTAG00000017306	XM_024996348#AKNA
ENSBTAG00000001000	XM_002692829#CA13
ENSBTAG00000003134	ENSBTAT00000004073#CRYAA
ENSBTAG00000010542	ENSBTAT00000117149#SPIRE1
ENSBTAG00000062687	ENSBTAT00000119636#ENSBTAG00000062687
ENSBTAG00000014169	ENSBTAT00000079574#PCDH19
ENSBTAG00000011284	ENSBTAT00000099642#SLC39A1
ENSBTAG00000019986	NM_001102080#CSNK1D
XM_059883836	XM_059883836#LOC132344347
ENSBTAG00000013798	ENSBTAT00000082545#PTPRN
ENSBTAG00000004364	NM_001192844#THNSL2
ENSBTAG00000007369	ENSBTAT00000066358#PDLIM2
ENSBTAG00000066564	ENSBTAT00000099953#ENSBTAG00000066564
ENSBTAG00000026915	ENSBTAT00000132626#NEK1
ENSBTAG00000035110	ENSBTAT00000113980#DEUP1
ENSBTAG00000010422	NM_001099107#MDM2
ENSBTAG00000021773	XM_024984853#ERCC4
ENSBTAG00000014272	ENSBTAT00000018963#MMUT
ENSBTAG00000009287	ENSBTAT00000131429#EBP
ENSBTAG00000040295	ENSBTAT00000078472#CHCHD2
ENSBTAG00000004240	ENSBTAT00000052656#TMPO
ENSBTAG00000003166	ENSBTAT00000107000#AXL
ENSBTAG00000032051	NM_001080919#ENSBTAG00000032051
ENSBTAG00000000011	ENSBTAT00000036775#TDH
ENSBTAG00000002919	ENSBTAT00000003791#UNC5CL
ENSBTAG00000057465	ENSBTAT00000132739#ENSBTAG00000057465
ENSBTAG00000020448	XM_024991216#ZNF282
ENSBTAG00000007489	XM_059893072#NCOA3
ENSBTAG00000044166	XM_002688213#PHOX2B
ENSBTAG00000032656	ENSBTAT00000046350#CPN2
ENSBTAG00000057186	XM_024983290#ENSBTAG00000057186
XM_015459195	XM_015459195#LOC523057
ENSBTAG00000017459	ENSBTAT00000114817#DUSP18
ENSBTAG00000065041	ENSBTAT00000127094#ENSBTAG00000065041
ENSBTAG00000017996	ENSBTAT00000023945#EGLN2
ENSBTAG00000021046	ENSBTAT00000077843#ELAVL4
ENSBTAG00000017458	XM_059885725#CALCR
ENSBTAG00000052146	ENSBTAT00000078836#MSANTD3
ENSBTAG00000009035	XM_010805939#CENPE
ENSBTAG00000014176	XM_005214628#REM1
ENSBTAG00000018176	ENSBTAT00000024188#CYBC1
ENSBTAG00000005390	ENSBTAT00000106723#GMFG
ENSBTAG00000002487	XM_024981865#UBE3A
ENSBTAG00000008905	ENSBTAT00000067419#FIGLA
ENSBTAG00000002030	NM_174188#SPP2
ENSBTAG00000046425	ENSBTAT00000118021#ENSBTAG00000046425
ENSBTAG00000019520	XM_003587224#ZC3H18
ENSBTAG00000011830	ENSBTAT00000015700#ENSBTAG00000011830
ENSBTAG00000006088	NM_001035460#VCF1
ENSBTAG00000008902	ENSBTAT00000113288#ZNF345
ENSBTAG00000006644	ENSBTAT00000097775#SPCS2
ENSBTAG00000009125	ENSBTAT00000108018#ALDH1A3
ENSBTAG00000019456	XM_024999446#SPRED2
ENSBTAG00000051397	ENSBTAT00000075933#ENSBTAG00000051397
XM_015473275	XM_015473275#ADAM20
ENSBTAG00000013772	XM_059879695#SRRM1
ENSBTAG00000058703	ENSBTAT00000095721#ENSBTAG00000058703
ENSBTAG00000005454	ENSBTAT00000007176#FUT10
ENSBTAG00000058364	ENSBTAT00000100445#ENSBTAG00000058364
ENSBTAG00000005311	ENSBTAT00000134438#POLR3H
ENSBTAG00000006852	NM_001113230#ACYP2
ENSBTAG00000012505	ENSBTAT00000083088#ARHGEF17
ENSBTAG00000000406	ENSBTAT00000074677#GPATCH4
ENSBTAG00000047247	ENSBTAT00000099750#C1H3orf80
ENSBTAG00000009811	ENSBTAT00000097904#BOP1
ENSBTAG00000050850	ENSBTAT00000067024#ENSBTAG00000050850
ENSBTAG00000000237	ENSBTAT00000000291#ENSBTAG00000000237
ENSBTAG00000040116	ENSBTAT00000052022#H1-10
ENSBTAG00000008437	XM_010807361#PCDH12
ENSBTAG00000001468	ENSBTAT00000106048#SAMD4A
ENSBTAG00000013994	ENSBTAT00000018597#BSX
ENSBTAG00000062718	ENSBTAT00000098778#ENSBTAG00000062718
ENSBTAG00000000720	ENSBTAT00000000962#CTSL
ENSBTAG00000018339	ENSBTAT00000094926#ATP5MC1
ENSBTAG00000002041	ENSBTAT00000081628#SASH3
ENSBTAG00000062924	ENSBTAT00000106814#ENSBTAG00000062924
ENSBTAG00000008461	XM_059891004#LSG1
ENSBTAG00000019823	XM_024982262#ADAMTS17
ENSBTAG00000047902	XM_010808675#ULBP21
ENSBTAG00000039766	XM_024977643#FBRSL1
ENSBTAG00000035631	NM_001390507#OR8C26
XM_024995360	XM_024995360#LOC112447504
ENSBTAG00000024723	ENSBTAT00000098145#CHCHD3
ENSBTAG00000011957	ENSBTAT00000119384#CREBL2
ENSBTAG00000012607	NM_001077043#NCAPH2
ENSBTAG00000059473	XM_002689159#SPMAP2
ENSBTAG00000049069	ENSBTAT00000082729#ENSBTAG00000049069
ENSBTAG00000002943	ENSBTAT00000003831#ENSBTAG00000002943
ENSBTAG00000000218	NM_001206770#MAP2K5
ENSBTAG00000003676	ENSBTAT00000004790#ENSBTAG00000003676
ENSBTAG00000023384	NM_001034513#CBR1
ENSBTAG00000013029	XM_059874775#ARNTL
ENSBTAG00000053907	ENSBTAT00000087248#ENSBTAG00000053907
ENSBTAG00000018841	ENSBTAT00000079084#PTPN3
ENSBTAG00000021654	ENSBTAT00000099511#GAS2
ENSBTAG00000019685	XM_024983493#BAG6
ENSBTAG00000015321	ENSBTAT00000067547#TRERF1
ENSBTAG00000020693	ENSBTAT00000112133#DERL1
ENSBTAG00000003806	ENSBTAT00000004959#ECM1
ENSBTAG00000032637	XM_059887406#EXOC1
ENSBTAG00000001599	ENSBTAT00000002101#SV2A
ENSBTAG00000010998	XM_024999538#CFLAR
ENSBTAG00000006242	XM_002700206#USP9X
XM_059878385	XM_059878385#LOC514828
ENSBTAG00000018445	ENSBTAT00000024549#GRIN3A
ENSBTAG00000000179	ENSBTAT00000097357#RPUSD1
ENSBTAG00000066308	ENSBTAT00000124272#ENSBTAG00000066308
ENSBTAG00000050726	ENSBTAT00000097238#CD300H
ENSBTAG00000013910	ENSBTAT00000118161#POLR3GL
ENSBTAG00000055349	ENSBTAT00000127191#ENSBTAG00000055349
ENSBTAG00000002971	XM_059881915#CUTC
ENSBTAG00000046291	XM_059877592#FAM83E
ENSBTAG00000003532	NM_001081583#TLE4
ENSBTAG00000017835	XM_005209099#C7H5orf63
ENSBTAG00000046148	NM_001435108#LIAT1
ENSBTAG00000014750	ENSBTAT00000071153#EPB41L4A
ENSBTAG00000032872	XM_059879590#THOC7
ENSBTAG00000040290	XM_059881938#GSTO2
ENSBTAG00000003307	XM_005212766#IMMT
ENSBTAG00000017072	XM_005207140#ZNF384
ENSBTAG00000008535	ENSBTAT00000066409#SOCS7
ENSBTAG00000044037	ENSBTAT00000061498#DACH2
ENSBTAG00000060182	ENSBTAT00000099132#ENSBTAG00000060182
ENSBTAG00000011494	ENSBTAT00000119112#PYGL
ENSBTAG00000005119	ENSBTAT00000006754#PSMD1
ENSBTAG00000010029	ENSBTAT00000083526#ERC2
XM_059890727	XM_059890727#ANKDD1A
ENSBTAG00000002175	XM_059885850#SRPK2
ENSBTAG00000048514	ENSBTAT00000083724#ENSBTAG00000048514
ENSBTAG00000003556	ENSBTAT00000073944#ZFYVE21
ENSBTAG00000067691	ENSBTAT00000089133#ENSBTAG00000067691
ENSBTAG00000007359	XM_015472155#PROP1
ENSBTAG00000014797	ENSBTAT00000108499#SEC22A
ENSBTAG00000004502	ENSBTAT00000068658#CLUAP1
ENSBTAG00000011003	ENSBTAT00000109205#IKZF3
ENSBTAG00000012849	ENSBTAT00000129888#COL4A1
ENSBTAG00000046607	NM_001114658#JMJD7
ENSBTAG00000001887	XM_024976528#STAM2
ENSBTAG00000032996	NM_001075770#P4HA1
ENSBTAG00000050929	ENSBTAT00000086312#ENSBTAG00000050929
ENSBTAG00000016760	XM_005222415#LRRFIP2
ENSBTAG00000007008	ENSBTAT00000090976#MOK
ENSBTAG00000013168	ENSBTAT00000017525#RPA3
ENSBTAG00000009852	ENSBTAT00000069430#NAV3
XM_024980797	XM_024980797#LOC104975039
ENSBTAG00000010795	NM_001192099#ATG14
ENSBTAG00000008695	NM_001192698#TCF3
ENSBTAG00000049082	ENSBTAT00000063966#TEDC1
ENSBTAG00000013495	ENSBTAT00000070033#WDFY3
ENSBTAG00000000392	ENSBTAT00000131097#ASCC1
