ENSG00000000003	ENST00000373020.9#TSPAN6
ENSG00000004487	ENST00000690627.1#KDM1A
ENSG00000004487	ENST00000692209.1#KDM1A
ENSG00000004487	ENST00000692853.1#KDM1A
ENSG00000004487	XM_005245786.3#KDM1A
ENSG00000004534	ENST00000266022.9#RBM6
ENSG00000004534	ENST00000443081.5#RBM6
ENSG00000004660	ENST00000348335.7#CAMKK1
ENSG00000004700	ENST00000444129.7#RECQL
ENSG00000004700	NM_032941.3#RECQL
ENSG00000004766	ENST00000305866.10#VPS50
ENSG00000004776	ENST00000004982.6#HSPB6
ENSG00000004777	ENST00000007510.9#ARHGAP33
ENSG00000004777	ENST00000378944.9#ARHGAP33
ENSG00000004777	XM_011526417.2#ARHGAP33
ENSG00000004777	XM_047438129.1#ARHGAP33
ENSG00000004777	XM_047438130.1#ARHGAP33
ENSG00000004777	XM_047438131.1#ARHGAP33
ENSG00000004779	ENST00000007516.8#NDUFAB1
ENSG00000004799	ENST00000005178.6#PDK4
ENSG00000004809	ENST00000368919.8#SLC22A16
ENSG00000004809	ENST00000451557.5#SLC22A16
ENSG00000004809	XM_011536205.3#SLC22A16
ENSG00000004809	XM_047419435.1#SLC22A16
ENSG00000004838	ENST00000231749.8#ZMYND10
ENSG00000004846	ENST00000404938.7#ABCB5
ENSG00000004848	ENST00000379044.5#ARX
ENSG00000004864	ENST00000265631.10#SLC25A13
ENSG00000004864	ENST00000416240.6#SLC25A13
ENSG00000004866	ENST00000323984.8#ST7
ENSG00000004866	ENST00000393446.6#ST7
ENSG00000004866	ENST00000393449.5#ST7
ENSG00000004866	ENST00000393451.7#ST7
ENSG00000004866	NM_001369599.1#ST7
ENSG00000004866	NM_001369600.1#ST7
ENSG00000004866	NM_001369602.1#ST7
ENSG00000004866	NM_001369603.1#ST7
ENSG00000004897	ENST00000066544.8#CDC27
ENSG00000004897	NM_001114091.4#CDC27
ENSG00000004897	NM_001293089.3#CDC27
ENSG00000004897	XM_011525546.4#CDC27
ENSG00000004939	ENST00000262418.12#SLC4A1
ENSG00000004939	XM_011525129.3#SLC4A1
ENSG00000004948	ENST00000426151.7#CALCR
ENSG00000004961	ENST00000321143.8#HCCS
ENSG00000004961	ENST00000380762.5#HCCS
ENSG00000004975	ENST00000005340.10#DVL2
ENSG00000004975	XM_005256502.3#DVL2
ENSG00000005001	ENST00000161006.8#PRSS22
ENSG00000005007	ENST00000262803.10#UPF1
ENSG00000005007	ENST00000704676.1#UPF1
ENSG00000005007	NM_001297549.2#UPF1
ENSG00000005020	ENST00000345317.7#SKAP2
ENSG00000005020	XM_017012771.3#SKAP2
ENSG00000005022	ENST00000317881.9#SLC25A5
ENSG00000005059	ENST00000394650.7#MCUB
ENSG00000005073	ENST00000006015.4#HOXA11
ENSG00000005075	ENST00000292614.10#POLR2J
ENSG00000005075	NM_001371100.1#POLR2J
ENSG00000005075	NM_001393919.1#POLR2J
ENSG00000005100	ENST00000225296.8#DHX33
ENSG00000005100	ENST00000433302.7#DHX33
ENSG00000005102	ENST00000318579.9#MEOX1
ENSG00000005108	ENST00000423059.9#THSD7A
ENSG00000005156	ENST00000378526.9#LIG3
ENSG00000005156	NM_002311.5#LIG3
ENSG00000005175	ENST00000005386.8#RPAP3
ENSG00000005187	ENST00000289416.10#ACSM3
ENSG00000005187	XM_047434437.1#ACSM3
ENSG00000005189	ENST00000261377.11#REXO5
ENSG00000005189	ENST00000348433.10#REXO5
ENSG00000005189	XM_011545963.3#REXO5
ENSG00000005189	XM_011545964.3#REXO5
ENSG00000005189	XM_011545965.3#REXO5
ENSG00000005194	ENST00000394391.9#CIAPIN1
ENSG00000005194	ENST00000569979.5#CIAPIN1
ENSG00000005206	ENST00000613503.5#SPPL2B
ENSG00000005206	ENST00000618220.4#SPPL2B
ENSG00000005206	NM_001077238.2#SPPL2B
ENSG00000005206	XM_011528138.3#SPPL2B
ENSG00000005238	ENST00000322813.10#ATOSB
ENSG00000005238	XM_005251591.2#ATOSB
ENSG00000005238	XM_047423910.1#ATOSB
ENSG00000005243	ENST00000621465.5#COPZ2
ENSG00000005243	XM_011524874.3#COPZ2
ENSG00000005249	ENST00000265717.5#PRKAR2B
ENSG00000005302	ENST00000312196.10#MSL3
ENSG00000005339	ENST00000262367.10#CREBBP
ENSG00000005339	XM_005255124.5#CREBBP
ENSG00000005339	XM_005255125.5#CREBBP
ENSG00000005339	XM_017022944.2#CREBBP
ENSG00000005339	XM_047433624.1#CREBBP
ENSG00000005339	XM_047433625.1#CREBBP
ENSG00000005379	ENST00000343736.9#TSPOAP1
ENSG00000005379	NM_001261835.2#TSPOAP1
ENSG00000005379	NM_024418.3#TSPOAP1
ENSG00000005381	ENST00000225275.4#MPO
ENSG00000005421	ENST00000222381.8#PON1
ENSG00000005436	ENST00000321027.8#GCFC2
ENSG00000005436	XM_011533074.4#GCFC2
ENSG00000005448	ENST00000348227.4#WDR54
ENSG00000005448	NM_001320824.2#WDR54
ENSG00000005469	ENST00000331536.8#CROT
ENSG00000005471	ENST00000649586.2#ABCB4
ENSG00000005471	NM_018849.3#ABCB4
ENSG00000005471	NM_018850.3#ABCB4
ENSG00000005471	XM_047420476.1#ABCB4
ENSG00000005483	ENST00000311117.8#KMT2E
ENSG00000005483	NM_001410908.1#KMT2E
ENSG00000005483	XM_011516400.3#KMT2E
ENSG00000005483	XM_047420613.1#KMT2E
ENSG00000005486	ENST00000006777.11#RHBDD2
ENSG00000005486	ENST00000318622.8#RHBDD2
ENSG00000005486	NM_001346188.2#RHBDD2
ENSG00000005513	ENST00000293894.4#SOX8
ENSG00000005513	ENST00000711627.1#SOX8
ENSG00000005700	ENST00000306270.12#IBTK
ENSG00000005801	ENST00000399602.9#ZNF195
ENSG00000005801	NM_007152.5#ZNF195
ENSG00000005810	ENST00000357337.11#MYCBP2
ENSG00000005810	ENST00000544440.7#MYCBP2
ENSG00000005810	ENST00000682321.1#MYCBP2
ENSG00000005810	ENST00000683697.1#MYCBP2
ENSG00000005810	ENST00000683823.1#MYCBP2
ENSG00000005810	ENST00000684354.1#MYCBP2
ENSG00000005810	ENST00000695081.1#MYCBP2
ENSG00000005812	ENST00000355619.10#FBXL3
ENSG00000005844	ENST00000356798.11#ITGAL
ENSG00000005844	NM_001114380.2#ITGAL
ENSG00000005844	XM_005255313.1#ITGAL
ENSG00000005844	XM_006721044.2#ITGAL
ENSG00000005882	ENST00000503176.6#PDK2
ENSG00000005882	NM_001199898.2#PDK2
ENSG00000005884	ENST00000007722.11#ITGA3
ENSG00000005884	ENST00000320031.13#ITGA3
ENSG00000005889	ENST00000304543.10#ZFX
ENSG00000005889	ENST00000338565.3#ZFX
ENSG00000005889	XM_005274592.4#ZFX
ENSG00000005889	XM_017029799.2#ZFX
ENSG00000005893	ENST00000200639.9#LAMP2
ENSG00000005893	NM_001122606.1#LAMP2
ENSG00000005893	NM_013995.2#LAMP2
ENSG00000005961	ENST00000262407.6#ITGA2B
ENSG00000005981	ENST00000325885.6#ASB4
ENSG00000006007	ENST00000353258.8#GDE1
ENSG00000006007	NM_001324067.2#GDE1
ENSG00000006015	ENST00000358607.11#REX1BD
ENSG00000006015	ENST00000450195.6#REX1BD
ENSG00000006016	ENST00000392386.8#CRLF1
ENSG00000006016	ENST00000684169.1#CRLF1
ENSG00000006025	ENST00000007414.8#OSBPL7
ENSG00000006025	XM_047435292.1#OSBPL7
ENSG00000006025	XM_047435293.1#OSBPL7
ENSG00000006042	ENST00000579849.6#TMEM98
ENSG00000006042	NM_001033504.2#TMEM98
ENSG00000006047	ENST00000007699.10#YBX2
ENSG00000006059	ENST00000007735.4#KRT33A
ENSG00000006062	ENST00000344686.8#MAP3K14
ENSG00000006062	XM_011525441.3#MAP3K14
ENSG00000006062	XM_047436998.1#MAP3K14
ENSG00000006071	ENST00000389817.8#ABCC8
ENSG00000006071	ENST00000684571.1#ABCC8
ENSG00000006071	NM_001287174.3#ABCC8
ENSG00000006116	ENST00000005284.4#CACNG3
ENSG00000006118	ENST00000453848.7#TMEM132A
ENSG00000006118	NM_017870.4#TMEM132A
ENSG00000006125	ENST00000610402.5#AP2B1
ENSG00000006125	ENST00000616681.4#AP2B1
ENSG00000006125	ENST00000621914.4#AP2B1
ENSG00000006125	XM_005257938.4#AP2B1
ENSG00000006128	ENST00000319273.10#TAC1
ENSG00000006128	NM_013996.3#TAC1
ENSG00000006128	NM_013997.3#TAC1
ENSG00000006194	ENST00000219069.6#ZNF263
ENSG00000006194	ENST00000572748.2#ZNF263
ENSG00000006210	ENST00000006053.7#CX3CL1
ENSG00000006282	ENST00000006658.11#SPATA20
ENSG00000006282	ENST00000356488.8#SPATA20
ENSG00000006282	ENST00000634597.1#SPATA20
ENSG00000006283	ENST00000359106.10#CACNA1G
ENSG00000006283	ENST00000416767.8#CACNA1G
ENSG00000006283	NM_001256324.2#CACNA1G
ENSG00000006283	NM_001256325.2#CACNA1G
ENSG00000006283	NM_001256326.2#CACNA1G
ENSG00000006283	NM_001256327.2#CACNA1G
ENSG00000006283	NM_001256328.2#CACNA1G
ENSG00000006283	NM_001256329.2#CACNA1G
ENSG00000006283	NM_001256330.2#CACNA1G
ENSG00000006283	NM_001256331.2#CACNA1G
ENSG00000006283	NM_001256332.2#CACNA1G
ENSG00000006283	NM_001256333.2#CACNA1G
ENSG00000006283	NM_001256334.2#CACNA1G
ENSG00000006283	NM_001256359.2#CACNA1G
ENSG00000006283	NM_001256360.2#CACNA1G
ENSG00000006283	NM_001256361.2#CACNA1G
ENSG00000006283	NM_198376.3#CACNA1G
ENSG00000006283	NM_198377.3#CACNA1G
ENSG00000006283	NM_198378.3#CACNA1G
ENSG00000006283	NM_198379.3#CACNA1G
ENSG00000006283	NM_198380.3#CACNA1G
ENSG00000006283	NM_198382.3#CACNA1G
ENSG00000006283	NM_198383.3#CACNA1G
ENSG00000006283	NM_198384.3#CACNA1G
ENSG00000006283	NM_198385.3#CACNA1G
ENSG00000006283	NM_198386.3#CACNA1G
ENSG00000006283	NM_198387.3#CACNA1G
ENSG00000006283	NM_198388.3#CACNA1G
ENSG00000006283	NM_198396.3#CACNA1G
ENSG00000006283	XM_006722160.5#CACNA1G
ENSG00000006283	XM_006722161.5#CACNA1G
ENSG00000006327	ENST00000326577.9#TNFRSF12A
ENSG00000006327	ENST00000341627.5#TNFRSF12A
ENSG00000006377	ENST00000518156.3#DLX6
ENSG00000006432	ENST00000554752.7#MAP3K9
ENSG00000006432	XM_005267683.6#MAP3K9
ENSG00000006451	ENST00000005257.7#RALA
ENSG00000006453	ENST00000005260.9#BAIAP2L1
ENSG00000006459	ENST00000397560.7#KDM7A
ENSG00000006468	ENST00000430479.6#ETV1
ENSG00000006468	ENST00000433547.1#ETV1
ENSG00000006468	NM_001163147.2#ETV1
ENSG00000006530	ENST00000649286.2#AGK
ENSG00000006534	ENST00000342456.11#ALDH3B1
ENSG00000006534	NM_001030010.3#ALDH3B1
ENSG00000006534	NM_001161473.3#ALDH3B1
ENSG00000006534	NM_001290058.2#ALDH3B1
ENSG00000006555	ENST00000371276.9#TTC22
ENSG00000006555	XM_011541671.3#TTC22
ENSG00000006576	ENST00000422959.8#PHTF2
ENSG00000006576	NM_001127358.2#PHTF2
ENSG00000006576	NM_001366084.1#PHTF2
ENSG00000006576	NM_001395270.1#PHTF2
ENSG00000006576	NM_001395271.1#PHTF2
ENSG00000006576	XM_005250509.5#PHTF2
ENSG00000006576	XM_011516422.4#PHTF2
ENSG00000006576	XM_011516423.4#PHTF2
ENSG00000006576	XM_047420638.1#PHTF2
ENSG00000006606	ENST00000005180.9#CCL26
ENSG00000006606	NM_001371936.1#CCL26
ENSG00000006607	ENST00000264042.8#FARP2
ENSG00000006607	XM_024453259.2#FARP2
ENSG00000006607	XM_047446510.1#FARP2
ENSG00000006607	XM_047446511.1#FARP2
ENSG00000006611	ENST00000005226.12#USH1C
ENSG00000006611	ENST00000318024.9#USH1C
ENSG00000006611	ENST00000527720.5#USH1C
ENSG00000006611	NM_001297764.2#USH1C
ENSG00000006611	XM_011519832.4#USH1C
ENSG00000006611	XM_047426222.1#USH1C
ENSG00000006625	ENST00000275428.9#GGCT
ENSG00000006625	NM_001199817.2#GGCT
ENSG00000006634	ENST00000265728.6#DBF4
ENSG00000006638	ENST00000375190.10#TBXA2R
ENSG00000006652	ENST00000403825.8#IFRD1
ENSG00000006652	ENST00000675578.1#IFRD1
ENSG00000006659	ENST00000392052.8#LGALS14
ENSG00000006695	ENST00000261643.8#COX10
ENSG00000006704	ENST00000424337.7#GTF2IRD1
ENSG00000006704	XM_006716182.4#GTF2IRD1
ENSG00000006704	XM_011516713.2#GTF2IRD1
ENSG00000006704	XM_017012805.2#GTF2IRD1
ENSG00000006712	ENST00000221265.8#PAF1
ENSG00000006715	ENST00000310301.9#VPS41
ENSG00000006740	ENST00000379672.10#ARHGAP44
ENSG00000006740	NM_001321164.2#ARHGAP44
ENSG00000006740	NM_001321166.2#ARHGAP44
ENSG00000006740	NM_001321167.2#ARHGAP44
ENSG00000006740	XM_005256891.3#ARHGAP44
ENSG00000006740	XM_047437223.1#ARHGAP44
ENSG00000006744	ENST00000338034.9#ELAC2
ENSG00000006744	NM_001165962.2#ELAC2
ENSG00000006744	NM_173717.2#ELAC2
ENSG00000006747	ENST00000297029.10#SCIN
ENSG00000006756	ENST00000381154.6#ARSD
ENSG00000006756	XM_005274514.3#ARSD
ENSG00000006757	ENST00000381042.9#PNPLA4
ENSG00000006757	NM_001142389.2#PNPLA4
ENSG00000006788	ENST00000252172.9#MYH13
ENSG00000006788	ENST00000418404.8#MYH13
ENSG00000006831	ENST00000357103.5#ADIPOR2
ENSG00000006837	ENST00000265334.9#CDKL3
ENSG00000006837	ENST00000521118.5#CDKL3
ENSG00000006837	NM_001300853.2#CDKL3
ENSG00000006837	NM_016508.4#CDKL3
ENSG00000007001	ENST00000005756.5#UPP2
ENSG00000007038	ENST00000005995.8#PRSS21
ENSG00000007038	ENST00000450020.7#PRSS21
ENSG00000007038	NM_144956.3#PRSS21
ENSG00000007038	XM_017022875.2#PRSS21
ENSG00000007047	ENST00000262891.9#MARK4
ENSG00000007047	NM_031417.4#MARK4
ENSG00000007047	XM_006723307.5#MARK4
ENSG00000007062	ENST00000447510.7#PROM1
ENSG00000007062	ENST00000505450.5#PROM1
ENSG00000007062	XM_005248196.6#PROM1
ENSG00000007062	XM_017008800.2#PROM1
ENSG00000007080	ENST00000445755.7#CCDC124
ENSG00000007129	ENST00000401445.4#CEACAM21
ENSG00000007129	NM_033543.6#CEACAM21
ENSG00000007129	XM_047439609.1#CEACAM21
ENSG00000007168	ENST00000397195.10#PAFAH1B1
ENSG00000007168	ENST00000713983.1#PAFAH1B1
ENSG00000007168	XM_017024701.2#PAFAH1B1
ENSG00000007171	ENST00000313735.11#NOS2
ENSG00000007171	ENST00000646938.1#NOS2
ENSG00000007174	ENST00000262442.9#DNAH9
ENSG00000007202	ENST00000528896.7#BLTP2
ENSG00000007216	ENST00000314669.10#SLC13A2
ENSG00000007216	ENST00000444914.7#SLC13A2
ENSG00000007216	XM_011525450.4#SLC13A2
ENSG00000007216	XM_011525452.2#SLC13A2
ENSG00000007216	XM_011525453.3#SLC13A2
ENSG00000007237	ENST00000432992.7#GAS7
ENSG00000007237	NM_201432.2#GAS7
ENSG00000007237	XM_011524044.4#GAS7
ENSG00000007237	XM_047436958.1#GAS7
ENSG00000007255	ENST00000006275.8#TRAPPC6A
ENSG00000007255	ENST00000585934.1#TRAPPC6A
ENSG00000007264	ENST00000310132.11#MATK
ENSG00000007264	ENST00000395040.6#MATK
ENSG00000007264	ENST00000585778.5#MATK
ENSG00000007306	ENST00000006724.7#CEACAM7
ENSG00000007306	ENST00000401731.6#CEACAM7
ENSG00000007306	ENST00000602225.1#CEACAM7
ENSG00000007312	ENST00000006750.8#CD79B
ENSG00000007312	ENST00000392795.7#CD79B
ENSG00000007312	NM_001329050.2#CD79B
ENSG00000007312	NM_021602.4#CD79B
ENSG00000007314	ENST00000435607.3#SCN4A
ENSG00000007341	ENST00000343210.11#ST7L
ENSG00000007341	ENST00000358039.9#ST7L
ENSG00000007350	ENST00000369915.8#TKTL1
ENSG00000007350	ENST00000439635.5#TKTL1
ENSG00000007372	ENST00000379132.8#PAX6
ENSG00000007372	ENST00000638696.1#PAX6
ENSG00000007372	ENST00000638755.1#PAX6
ENSG00000007372	ENST00000638914.3#PAX6
ENSG00000007372	ENST00000640368.2#PAX6
ENSG00000007372	NM_001368904.2#PAX6
ENSG00000007372	NM_001368919.2#PAX6
ENSG00000007372	NM_001368920.2#PAX6
ENSG00000007372	NM_001368923.2#PAX6
ENSG00000007372	NM_001368928.2#PAX6
ENSG00000007376	ENST00000007264.7#RPUSD1
ENSG00000007376	NM_001324413.2#RPUSD1
ENSG00000007376	NM_001369659.1#RPUSD1
ENSG00000007384	ENST00000262316.10#RHBDF1
ENSG00000007384	XM_047434482.1#RHBDF1
ENSG00000007392	ENST00000293872.13#LUC7L
ENSG00000007392	ENST00000337351.8#LUC7L
ENSG00000007392	ENST00000429378.5#LUC7L
ENSG00000007392	NM_001330420.2#LUC7L
ENSG00000007392	XM_011522561.3#LUC7L
ENSG00000007402	ENST00000423994.6#CACNA2D2
ENSG00000007402	ENST00000424201.7#CACNA2D2
ENSG00000007402	NM_001174051.3#CACNA2D2
ENSG00000007402	NM_001410768.1#CACNA2D2
ENSG00000007402	XM_011534243.3#CACNA2D2
ENSG00000007516	ENST00000426824.8#BAIAP3
ENSG00000007516	NM_001199096.2#BAIAP3
ENSG00000007520	ENST00000007390.3#TSR3
ENSG00000007541	ENST00000321878.10#PIGQ
ENSG00000007541	ENST00000409527.6#PIGQ
ENSG00000007545	ENST00000397412.8#CRAMP1
ENSG00000007866	ENST00000338863.13#TEAD3
ENSG00000007866	NM_001395214.1#TEAD3
ENSG00000007908	ENST00000333360.12#SELE
ENSG00000007908	ENST00000367774.1#SELE
ENSG00000007908	ENST00000367775.5#SELE
ENSG00000007908	ENST00000367776.5#SELE
ENSG00000007908	ENST00000367777.5#SELE
ENSG00000007923	ENST00000294401.11#DNAJC11
ENSG00000007923	ENST00000377577.10#DNAJC11
ENSG00000007933	ENST00000367755.9#FMO3
ENSG00000007933	NM_001319174.2#FMO3
ENSG00000007933	NM_006894.6#FMO3
ENSG00000007944	ENST00000356840.8#MYLIP
ENSG00000007944	XM_005249032.2#MYLIP
ENSG00000007952	ENST00000372966.8#NOX1
ENSG00000007952	NM_001271815.2#NOX1
ENSG00000007952	NM_013955.3#NOX1
ENSG00000007968	ENST00000361729.3#E2F2
ENSG00000007968	XM_011540868.4#E2F2
ENSG00000007968	XM_011540870.4#E2F2
ENSG00000007968	XM_047448091.1#E2F2
ENSG00000007968	XM_047448092.1#E2F2
ENSG00000008018	ENST00000262193.7#PSMB1
ENSG00000008056	ENST00000295987.13#SYN1
ENSG00000008056	ENST00000340666.5#SYN1
ENSG00000008083	ENST00000341776.7#JARID2
ENSG00000008083	XM_047418739.1#JARID2
ENSG00000008083	XM_047418742.1#JARID2
ENSG00000008086	ENST00000379996.7#CDKL5
ENSG00000008086	ENST00000623535.2#CDKL5
ENSG00000008086	ENST00000674046.1#CDKL5
ENSG00000008118	ENST00000361322.3#CAMK1G
ENSG00000008118	XM_017001866.3#CAMK1G
ENSG00000008128	ENST00000356200.7#CDK11A
ENSG00000008128	ENST00000404249.8#CDK11A
ENSG00000008130	ENST00000341426.9#NADK
ENSG00000008130	XM_047428631.1#NADK
ENSG00000008196	ENST00000393655.4#TFAP2B
ENSG00000008196	XM_011514837.3#TFAP2B
ENSG00000008196	XM_017011235.3#TFAP2B
ENSG00000008197	ENST00000008391.4#TFAP2D
ENSG00000008226	ENST00000308059.11#DLEC1
ENSG00000008226	NM_001321153.2#DLEC1
ENSG00000008256	ENST00000350796.8#CYTH3
ENSG00000008277	ENST00000398204.8#ADAM22
ENSG00000008277	ENST00000413139.2#ADAM22
ENSG00000008277	ENST00000684002.1#ADAM22
ENSG00000008277	NM_001324417.2#ADAM22
ENSG00000008277	NM_001391976.1#ADAM22
ENSG00000008277	NM_001391977.1#ADAM22
ENSG00000008277	NM_001391978.1#ADAM22
ENSG00000008277	NM_001391981.1#ADAM22
ENSG00000008277	NM_004194.5#ADAM22
ENSG00000008277	NM_021722.6#ADAM22
ENSG00000008277	NM_021723.5#ADAM22
ENSG00000008277	XM_011516322.3#ADAM22
ENSG00000008277	XM_011516323.3#ADAM22
ENSG00000008277	XM_017012332.3#ADAM22
ENSG00000008282	ENST00000455385.7#SYPL1
ENSG00000008282	NM_001381912.1#SYPL1
ENSG00000008282	NM_001381915.1#SYPL1
ENSG00000008282	NM_006754.5#SYPL1
ENSG00000008283	ENST00000360793.8#CYB561
ENSG00000008283	NM_001017916.2#CYB561
ENSG00000008294	ENST00000262013.12#SPAG9
ENSG00000008294	NM_001130527.3#SPAG9
ENSG00000008294	NM_001251971.2#SPAG9
ENSG00000008294	NM_003971.6#SPAG9
ENSG00000008294	XM_005257771.4#SPAG9
ENSG00000008294	XM_005257774.5#SPAG9
ENSG00000008294	XM_017025283.3#SPAG9
ENSG00000008294	XM_017025284.3#SPAG9
ENSG00000008294	XM_017025285.3#SPAG9
ENSG00000008300	ENST00000164024.5#CELSR3
ENSG00000008311	ENST00000417368.7#AASS
ENSG00000008311	XM_011515725.3#AASS
ENSG00000008323	ENST00000684764.1#PLEKHG6
